Id,Name,MasterContract__c,ContractYearMonth__c,ContractPeriod__c,ProductMaster__c,ProductMaster__r.Name,RelatedInvoice__c,RevenueAmount__c,PeopleNumber__c
a03RB00001NswhVYAR,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2026/03,a04RB00000kUAOlYAO,2026/03,a0BRB00000ynb6g2AA,,,,,5
a03RB00001NswhWYAR,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2026/04,a04RB00000kUAOlYAO,2026/04,a0BRB00000ynb6g2AA,,,,,5
a03RB00001NswhXYAR,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2026/05,a04RB00000kUAOlYAO,2026/05,a0BRB00000ynb6g2AA,,,,,5
a03RB00001NswhYYAR,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2026/06,a04RB00000kUAOlYAO,2026/06,a0BRB00000ynb6g2AA,,,,,5
a03RB00001NswhZYAR,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2026/07,a04RB00000kUAOlYAO,2026/07,a0BRB00000ynb6g2AA,,,,,5
a03RB00001NswhaYAB,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2026/08,a04RB00000kUAOlYAO,2026/08,a0BRB00000ynb6g2AA,,,,,5
a03RB00001NswhbYAB,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2026/09,a04RB00000kUAOlYAO,2026/09,a0BRB00000ynb6g2AA,,,,,5
a03RB00001NswhcYAB,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2026/10,a04RB00000kUAOlYAO,2026/10,a0BRB00000ynb6g2AA,,,,,5
a03RB00001NswhdYAB,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2026/11,a04RB00000kUAOlYAO,2026/11,a0BRB00000ynb6g2AA,,,,,5
a03RB00001NswheYAB,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2026/12,a04RB00000kUAOlYAO,2026/12,a0BRB00000ynb6g2AA,,,,,5
a03RB00001NswhfYAB,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2027/01,a04RB00000kUAOlYAO,2027/01,a0BRB00000ynb6g2AA,,,,,5
a03RB00001NswhgYAB,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2027/02,a04RB00000kUAOlYAO,2027/02,a0BRB00000ynb6g2AA,,,,,5
a03RB00001NswhhYAB,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2027/03,a04RB00000kUAOlYAO,2027/03,a0BRB00000ynb6g2AA,,,,,5
