"Category","Issue","Id","Name","ContractName","Account","Status","Start","End","MRR","Payment","Update","BillingSource","AutoFreee"
"関連不足","有効契約に請求がない","a04RB00000kUAOOYA4","CN-00000050","株式会社JR東日本建築設計","001RB00001VTrHVYA1","Activated","2025-07-01","","8000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOVYA4","CN-00000057","三菱地所株式会社(DX推進部)","001RB00001VTqeCYAT","Activated","2025-10-01","","16000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOXYA4","CN-00000059","株式会社コスモスイニシア　建築本部","001RB00001VTqgBYAT","Activated","2025-10-01","","98000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOYYA4","CN-00000060","株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）","001RB00001VTqgBYAT","Activated","2026-04-01","","70000","Invoice","年","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOZYA4","CN-00000061","株式会社コスモスイニシア　事業本部（流通事業）","001RB00001VTqgBYAT","Activated","2025-10-01","","42000","Invoice","年","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOaYAO","CN-00000062","株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）","001RB00001VTqgBYAT","Activated","2026-04-01","","30000","Invoice","年","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOkYAO","CN-00000072","株式会社石勝エクステリア","001RB00001VTqnMYAT","Activated","2025-10-01","","100000","Invoice","年","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOoYAO","CN-00000076","株式会社アールシーコア","001RB00001VTqxQYAT","Activated","2026-01-01","","150000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOrYAO","CN-00000079","株式会社石勝エクステリア(シングルサインオン分）","001RB00001VTqnMYAT","Activated","2025-10-01","","30000","Invoice","年","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOsYAO","CN-00000080","株式会社アールシーコア(セキュリティオプション月額）","001RB00001VTqxQYAT","Activated","2026-01-01","","100000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOvYAO","CN-00000083","野村不動産株式会社","001RB00001VTCYEYA5","Activated","2026-04-01","","150000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOwYAO","CN-00000084","野村不動産株式会社（シングルサインオン分）","001RB00001VTCYEYA5","Activated","2026-04-01","","30000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAP2YAO","CN-00000090","株式会社サンケイビル","001RB00001VTrvXYAT","Activated","2026-04-01","","70000","Invoice","年","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAP8YAO","CN-00000096","近鉄不動産","001RB00001VTrvcYAD","Activated","2026-04-01","","180000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAP9YAO","CN-00000097","近鉄不動産(セキュリティオプション月額）","001RB00001VTrvcYAD","Activated","2026-04-01","","100000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAPCYA4","CN-00000100","株式会社フジタ　BIM推進部","001RB00001VTrwFYAT","Activated","2026-04-01","","42000","Invoice","年","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAPDYA4","CN-00000101","株式会社フジタ　設計統括部","001RB00001VTrwFYAT","Activated","2026-04-01","","98000","Invoice","年","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAPKYA4","CN-00000108","株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所","001RB00001VTruAYAT","Activated","2026-06-01","","30000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAPLYA4","CN-00000109","NTTファシリティーズ株式会社","001RB00001VTrnrYAD","Activated","2026-06-01","","150000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAPMYA4","CN-00000110","合同会社小島屋","001RB00001VTruZYAT","Activated","2026-06-01","","8000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAPgYAO","CN-00000130","株式会社ヨコハマ地所","001RB00001VTqYlYAL","Activated","2025-02-01","","11000","Invoice","月","","false"
"関連不足","有効契約に契約月次明細が1件もない","a04RB00000nA94DYAS","CN-00000230","【着手金】AIシミュレーション開発・保守費⽤（2026年6⽉-2027年3⽉）","001RB00001VTqidYAD","Activated","2026-06-29","","","Invoice","月","Freee","false"
"関連不足","有効契約に契約期間がない","a04RB00000nA94DYAS","CN-00000230","【着手金】AIシミュレーション開発・保守費⽤（2026年6⽉-2027年3⽉）","001RB00001VTqidYAD","Activated","2026-06-29","","","Invoice","月","Freee","false"
"関連不足","有効契約に請求がない","a04RB00000nCmpRYAS","CN-00000233","株式会社サンテン・コーポレーション Rendery Proプラン Freee自動請求契約","001RB00001VTrRuYAL","Activated","2026-07-01","","32000","Invoice","月","Freee","true"
"関連不足","有効契約に請求がない","a04RB00000nCmpSYAS","CN-00000234","株式会社パインウェル Rendery Proプラン Freee自動請求契約","001RB00001b3qNeYAI","Activated","2026-07-01","","8000","Invoice","月","Freee","true"
"関連不足","有効契約に請求がない","a04RB00000nRI1RYAW","CN-00000240","矢作建設_契約変更","001RB00001VTqlfYAD","Activated","2026-08-01","","","","年","Salesforce","false"
"関連不足","有効契約に契約月次明細が1件もない","a04RB00000nRI1RYAW","CN-00000240","矢作建設_契約変更","001RB00001VTqlfYAD","Activated","2026-08-01","","","","年","Salesforce","false"
"関連不足","有効契約に請求がない","a04RB00000nS9IgYAK","CN-00000243","清水建設 株式会社 Rendery Proプラン Freee自動請求契約","001RB00001VTrvxYAD","Activated","2026-08-01","","8000","Invoice","月","Freee","true"
"月次不足","有効契約に当月の契約月次明細がない","a04RB00000kUAO9YAO","CN-00000035","矢作建設工業株式会社","001RB00001VTqlfYAD","Activated","2025-04-01","","55000","Invoice","年","","false"
"月次不足","有効契約に当月の契約月次明細がない","a04RB00000kUAPZYA4","CN-00000123","株式会社西武開発","001RB00001VTqaIYAT","Activated","2024-12-01","","93500","Invoice","年","","false"
