"Id","Name","Status__c","StartDate__c","EndDate__c","ContractUpdate__c","Payment__c","BillingControlSource__c","AutoCreatedFromFreee__c"
"a04RB00000n5Je3YAE","CN-00000221","Activated","2026-04-01","","月","Invoice","Freee","true"
"a04RB00000n5Je4YAE","CN-00000222","Activated","2026-03-01","","月","Invoice","Freee","true"
"a04RB00000n5Je5YAE","CN-00000223","Activated","2026-04-01","","月","Invoice","Freee","true"
"a04RB00000n5Je6YAE","CN-00000224","Activated","2026-05-01","","月","Invoice","Freee","true"
"a04RB00000n5Je7YAE","CN-00000225","Activated","2026-07-01","","月","Invoice","Freee","true"
"a04RB00000n5Je8YAE","CN-00000226","Activated","2026-07-01","","月","Invoice","Freee","true"
"a04RB00000n5Je9YAE","CN-00000227","Activated","2026-07-01","","月","Invoice","Freee","true"
"a04RB00000n5JeAYAU","CN-00000228","Activated","2026-07-01","","月","Invoice","Freee","true"
"a04RB00000nA94DYAS","CN-00000230","Activated","2026-06-29","","月","Invoice","Freee","false"
"a04RB00000nCmpRYAS","CN-00000233","Activated","2026-07-01","","月","Invoice","Freee","true"
"a04RB00000nCmpSYAS","CN-00000234","Activated","2026-07-01","","月","Invoice","Freee","true"
"a04RB00000nCmpTYAS","CN-00000235","Activated","2025-09-01","","月","Invoice","Freee","true"
"a04RB00000nRI1RYAW","CN-00000240","Activated","2026-08-01","","年","","Salesforce","false"
"a04RB00000nS9IfYAK","CN-00000242","Activated","2026-07-01","","月","Invoice","Freee","true"
"a04RB00000nS9IgYAK","CN-00000243","Activated","2026-08-01","","月","Invoice","Freee","true"
