"No","優先度","主原因","Work名","SalesforceURL","Freee請求書ID","Freee請求書番号","取引先","解決済み取引先","請求日","請求金額","契約管理","契約期間","作成済み請求","請求明細","確認コード","個別確認対象","具体的な確認事項","確認後の対応","自動反映可否","担当","現在の検証メッセージ"
"11","中","契約・契約期間未確定","MFIW-000285","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59R2AR/view","54153846","INV-0000001064","九州旅客鉄道株式会社(博多設備区)","九州旅客鉄道株式会社(博多設備区)","2026-03-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 九州旅客鉄道株式会社(博多設備区) / 請求日: 2026-03-20","取引先「九州旅客鉄道株式会社(博多設備区)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"12","中","契約・契約期間未確定","MFIW-000286","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59S2AR/view","54153848","INV-0000001065","株式会社ジョイフル本田","株式会社ジョイフル本田","2026-03-20","60500","","","","Rendery Enterpriseプラン_月額 / 数量:5 / 単価:11,000 / 金額:55,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01","請求区分と契約先: 株式会社ジョイフル本田 / 請求日: 2026-03-20","取引先「株式会社ジョイフル本田」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"13","中","契約・契約期間未確定","MFIW-000291","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wio6k2AB/view","54248066","INV-0000001094","柏井建設株式会社","柏井建設株式会社","2026-03-20","82500","","","","Rendery Enterpriseプラン5アカウント_月額 / 数量:5 / 単価:15,000 / 金額:75,000 / 確定:Rendery Enterpriseプラン","C01","請求区分と契約先: 柏井建設株式会社 / 請求日: 2026-03-20","取引先「柏井建設株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"14","中","契約・商品未確定","MFIW-000292","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wio6l2AB/view","54249842","INV-0000001095","株式会社トーケン","株式会社トーケン","2026-03-20","1056000","","","","Rendery_Pro_10アカウント_年間一括払い / 数量:12 / 単価:80,000 / 金額:960,000 / 商品未候補","C01,P02","請求区分と契約先: 株式会社トーケン / 請求日: 2026-03-20 || 商品選択: 「Rendery_Pro_10アカウント_年間一括払い」","取引先「株式会社トーケン」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。 明細「Rendery_Pro_10アカウント_年間一括払い」（数量 12、単価 80,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"15","中","契約・契約期間未確定","MFIW-000354","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhrC2AR/view","54153857","INV-0000001071","九州旅客鉄道株式会社(建設工事部施設課)","九州旅客鉄道株式会社(建設工事部施設課)","2026-03-20","8800","","","","Rendery_Pro_月額 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 九州旅客鉄道株式会社(建設工事部施設課) / 請求日: 2026-03-20","取引先「九州旅客鉄道株式会社(建設工事部施設課)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"16","中","契約・契約期間未確定","MFIW-000356","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhrE2AR/view","54153860","INV-0000001073","インフィニティ株式会社","インフィニティ株式会社","2026-03-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: インフィニティ株式会社 / 請求日: 2026-03-20","取引先「インフィニティ株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"17","中","契約・商品未確定","MFIW-000357","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhrF2AR/view","54153861","INV-0000001074","東急リゾーツ＆ステイ株式会社","東急リゾーツ＆ステイ株式会社","2026-03-20","108900","","","","Rendery　エンタープライズプラン / 数量:9 / 単価:11,000 / 金額:99,000 / 候補:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01,P01","請求区分と契約先: 東急リゾーツ＆ステイ株式会社 / 請求日: 2026-03-20 || 商品候補確認: 「Rendery　エンタープライズプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","取引先「東急リゾーツ＆ステイ株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。 明細「Rendery　エンタープライズプラン」（数量 9、単価 11,000 円）を商品「[OLD] Rendery Enterpriseプラン(2025年9月まで)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"18","中","商品未確定","MFIW-000359","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhrH2AR/view","54153863","INV-0000001076","株式会社前田工務店","株式会社前田工務店","2026-03-20","60500","","CP-00000007","","Rendery(エンタープライズプラン：1ヶ月) / 数量:5 / 単価:11,000 / 金額:55,000 / 候補:[OLD] Rendery Enterpriseプラン(2025年9月まで)","P01","商品候補確認: 「Rendery(エンタープライズプラン：1ヶ月)」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","明細「Rendery(エンタープライズプラン：1ヶ月)」（数量 5、単価 11,000 円）を商品「[OLD] Rendery Enterpriseプラン(2025年9月まで)」としてよいか確認する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"19","中","契約・契約期間未確定","MFIW-000365","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhzH2AR/view","54153872","INV-0000001082","九州旅客鉄道株式会社(開発工事部)","九州旅客鉄道株式会社(開発工事部)","2026-03-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 九州旅客鉄道株式会社(開発工事部) / 請求日: 2026-03-20","取引先「九州旅客鉄道株式会社(開発工事部)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"20","中","契約・契約期間未確定","MFIW-000367","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhzJ2AR/view","54153877","INV-0000001084","株式会社ＬＩＸＩＬ住宅研究所","株式会社ＬＩＸＩＬ住宅研究所","2026-03-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 株式会社ＬＩＸＩＬ住宅研究所 / 請求日: 2026-03-20","取引先「株式会社ＬＩＸＩＬ住宅研究所」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-03-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
