"No","優先度","主原因","Work名","SalesforceURL","Freee請求書ID","Freee請求書番号","取引先","解決済み取引先","請求日","請求金額","契約管理","契約期間","作成済み請求","請求明細","確認コード","個別確認対象","具体的な確認事項","確認後の対応","自動反映可否","担当","現在の検証メッセージ"
"11","中","契約・商品未確定","MFIW-000299","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wjfvv2AB/view","56527536","INV-0000001135","アグレ都市デザイン株式会社","アグレ都市デザイン株式会社","2026-04-20","12100","","","","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 候補:knock knock AI Basicプラン(50クレジット)","C01,P01","請求区分と契約先: アグレ都市デザイン株式会社 / 請求日: 2026-04-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","取引先「アグレ都市デザイン株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「knock knock AI_Basicプラン」（数量 1、単価 11,000 円）を商品「knock knock AI Basicプラン(50クレジット)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"12","中","契約・商品未確定","MFIW-000314","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UB2AZ/view","56527556","INV-0000001150","東急リゾーツ＆ステイ株式会社","東急リゾーツ＆ステイ株式会社","2026-04-20","108900","","","","Rendery　エンタープライズプラン / 数量:9 / 単価:11,000 / 金額:99,000 / 候補:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01,P01","請求区分と契約先: 東急リゾーツ＆ステイ株式会社 / 請求日: 2026-04-20 || 商品候補確認: 「Rendery　エンタープライズプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","取引先「東急リゾーツ＆ステイ株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「Rendery　エンタープライズプラン」（数量 9、単価 11,000 円）を商品「[OLD] Rendery Enterpriseプラン(2025年9月まで)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"13","中","契約・商品未確定","MFIW-000325","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UM2AZ/view","56647918","INV-0000001161","福井コンピュータアーキテクト","福井コンピュータアーキテクト","2026-04-20","5181000","","","","着手金として / 数量:1 / 単価:4,710,000 / 金額:4,710,000 / 商品未候補","C01,P02","請求区分と契約先: 福井コンピュータアーキテクト / 請求日: 2026-04-20 || 商品選択: 「着手金として」","取引先「福井コンピュータアーキテクト」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「着手金として」（数量 1、単価 4,710,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"14","中","商品未確定","MFIW-000327","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UO2AZ/view","56676178","INV-0000001163","東急建設株式会社","東急建設株式会社","2026-04-20","105600","CN-00000007","CP-00000005","","Rendery_Pro(2026年4月- 2027年3月) / 数量:1 / 単価:96,000 / 金額:96,000 / 商品未候補","P02","商品選択: 「Rendery_Pro(2026年4月- 2027年3月)」","明細「Rendery_Pro(2026年4月- 2027年3月)」（数量 1、単価 96,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"15","中","商品未確定","MFIW-000329","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UQ2AZ/view","56678351","INV-0000001165","株式会社大塚商会","株式会社大塚商会","2026-04-20","14080","CN-00000063","CP-00000061","","Rendery_Pro_月額利用料_注文番号：405016881 / 数量:2 / 単価:6,400 / 金額:12,800 / 候補:[代理販売20%] Rendery Proプラン","P01","商品候補確認: 「Rendery_Pro_月額利用料_注文番号：405016881」 -> 「[代理販売20%] Rendery Proプラン」","明細「Rendery_Pro_月額利用料_注文番号：405016881」（数量 2、単価 6,400 円）を商品「[代理販売20%] Rendery Proプラン」としてよいか確認する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"16","中","商品未確定","MFIW-000330","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UR2AZ/view","56678813","INV-0000001166","株式会社大塚商会","株式会社大塚商会","2026-04-20","7040","CN-00000063","CP-00000061","","Rendery_Pro_４月利用料(株式会社長谷建築設計事務所様) / 数量:1 / 単価:6,400 / 金額:6,400 / 候補:[代理販売20%] Rendery Proプラン","P01","商品候補確認: 「Rendery_Pro_４月利用料(株式会社長谷建築設計事務所様)」 -> 「[代理販売20%] Rendery Proプラン」","明細「Rendery_Pro_４月利用料(株式会社長谷建築設計事務所様)」（数量 1、単価 6,400 円）を商品「[代理販売20%] Rendery Proプラン」としてよいか確認する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"17","中","契約・商品未確定","MFIW-000334","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOi2AN/view","56681536","INV-0000001170","株式会社石勝エクステリア","株式会社石勝エクステリア","2026-04-20","1716000","","","","Rendery Enterpriseプラン_10アカウント_年払い / 数量:10 / 単価:132,000 / 金額:1,320,000 / 確定:[年払] Rendery Enterpriseプラン || 年払い割引 / 数量:10 / 単価:-12,000 / 金額:-120,000 / 商品未候補 || セキュリティオプション_シングルサインオン_運用費用_年払い / 数量:1 / 単価:360,000 / 金額:360,000 / 商品未候補","C01,P02","請求区分と契約先: 株式会社石勝エクステリア / 請求日: 2026-04-20 || 商品選択: 「年払い割引」 || 商品選択: 「セキュリティオプション_シングルサインオン_運用費用_年払い」","取引先「株式会社石勝エクステリア」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「年払い割引」（数量 10、単価 -12,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。 明細「セキュリティオプション_シングルサインオン_運用費用_年払い」（数量 1、単価 360,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"18","中","契約・商品未確定","MFIW-000342","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOq2AN/view","56685582","INV-0000001178","近鉄不動産株式会社","近鉄不動産株式会社","2026-04-20","676500","","","","[月額費用]Rendery Enterpriseプラン_11アカウント / 数量:11 / 単価:15,000 / 金額:165,000 / 候補:Rendery Enterpriseプラン || [月額費用]セキュリティオプション+_運用費用 / 数量:1 / 単価:100,000 / 金額:100,000 / 候補:Rendery セキュリティオプション(SSO)_初期費用 || [初月のみ]セキュリティオプション+_初期コスト / 数量:1 / 単価:350,000 / 金額:350,000 / 候補:Rendery セキュリティオプション+_初期費用","C01,P01,P02","請求区分と契約先: 近鉄不動産株式会社 / 請求日: 2026-04-20 || 商品候補確認: 「[月額費用]Rendery Enterpriseプラン_11アカウント」 -> 「Rendery Enterpriseプラン」 || 商品選択: 「[月額費用]セキュリティオプション+_運用費用」 || 商品選択: 「[初月のみ]セキュリティオプション+_初期コスト」","取引先「近鉄不動産株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「[月額費用]Rendery Enterpriseプラン_11アカウント」（数量 11、単価 15,000 円）を商品「Rendery Enterpriseプラン」としてよいか確認する。 明細「[月額費用]セキュリティオプション+_運用費用」（数量 1、単価 100,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。 明細「[初月のみ]セキュリティオプション+_初期コスト」（数量 1、単価 350,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"19","中","契約・商品未確定","MFIW-000346","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOu2AN/view","56693657","INV-0000001182","株式会社フジタ","株式会社フジタ","2026-04-20","924000","","","","Rendery Enterpriseプラン5アカウント_年払い / 数量:5 / 単価:180,000 / 金額:900,000 / 確定:[年払] Rendery Enterpriseプラン || 年払い割引 / 数量:5 / 単価:-12,000 / 金額:-60,000 / 商品未候補","C01,P02","請求区分と契約先: 株式会社フジタ / 請求日: 2026-04-20 || 商品選択: 「年払い割引」","取引先「株式会社フジタ」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「年払い割引」（数量 5、単価 -12,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"20","中","契約・商品未確定","MFIW-000349","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOx2AN/view","56697026","INV-0000001185","株式会社フジタ","株式会社フジタ","2026-04-20","1293600","","","","Rendery Enterpriseプラン_7アカウント_年払い / 数量:7 / 単価:180,000 / 金額:1,260,000 / 確定:[年払] Rendery Enterpriseプラン || 年払い割引 / 数量:7 / 単価:-12,000 / 金額:-84,000 / 商品未候補","C01,P02","請求区分と契約先: 株式会社フジタ / 請求日: 2026-04-20 || 商品選択: 「年払い割引」","取引先「株式会社フジタ」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「年払い割引」（数量 7、単価 -12,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"21","中","契約・商品未確定","MFIW-000350","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOy2AN/view","56698344","INV-0000001186","株式会社フジタ","株式会社フジタ","2026-04-20","554400","","","","Rendery Enterpriseプラン_3アカウント_年払い / 数量:3 / 単価:180,000 / 金額:540,000 / 確定:[年払] Rendery Enterpriseプラン || 年払い割引 / 数量:3 / 単価:-12,000 / 金額:-36,000 / 商品未候補","C01,P02","請求区分と契約先: 株式会社フジタ / 請求日: 2026-04-20 || 商品選択: 「年払い割引」","取引先「株式会社フジタ」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「年払い割引」（数量 3、単価 -12,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"22","中","契約・商品未確定","MFIW-000229","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKT2A3/view","58573614","INV-0000001231","株式会社ヨコハマ地所","株式会社ヨコハマ地所","2026-05-20","12100","","","","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 候補:knock knock AI Basicプラン(50クレジット)","C01,P01","請求区分と契約先: 株式会社ヨコハマ地所 / 請求日: 2026-05-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","取引先「株式会社ヨコハマ地所」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。 明細「knock knock AI_Basicプラン」（数量 1、単価 11,000 円）を商品「knock knock AI Basicプラン(50クレジット)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"23","中","商品未確定","MFIW-000230","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKU2A3/view","58573616","INV-0000001232","リアルティホールディングス株式会社","リアルティホールディングス株式会社","2026-05-20","175450","CN-00000127","CP-00000126","","knock knock AI_Enterpriseプラン_1200クレジット / 数量:1,100 / 単価:145 / 金額:159,500 / 商品未候補","P02","商品選択: 「knock knock AI_Enterpriseプラン_1200クレジット」","明細「knock knock AI_Enterpriseプラン_1200クレジット」（数量 1,100、単価 145 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"24","中","契約・商品未確定","MFIW-000233","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKX2A3/view","58573621","INV-0000001235","アグレ都市デザイン株式会社","アグレ都市デザイン株式会社","2026-05-20","12100","","","","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 候補:knock knock AI Basicプラン(50クレジット)","C01,P01","請求区分と契約先: アグレ都市デザイン株式会社 / 請求日: 2026-05-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","取引先「アグレ都市デザイン株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。 明細「knock knock AI_Basicプラン」（数量 1、単価 11,000 円）を商品「knock knock AI Basicプラン(50クレジット)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"25","中","契約・商品未確定","MFIW-000248","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTBg2AN/view","58573648","INV-0000001250","東急リゾーツ＆ステイ株式会社","東急リゾーツ＆ステイ株式会社","2026-05-20","108900","","","","Rendery　エンタープライズプラン / 数量:9 / 単価:11,000 / 金額:99,000 / 候補:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01,P01","請求区分と契約先: 東急リゾーツ＆ステイ株式会社 / 請求日: 2026-05-20 || 商品候補確認: 「Rendery　エンタープライズプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","取引先「東急リゾーツ＆ステイ株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。 明細「Rendery　エンタープライズプラン」（数量 9、単価 11,000 円）を商品「[OLD] Rendery Enterpriseプラン(2025年9月まで)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"26","中","商品未確定","MFIW-000259","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTmd2AF/view","58690508","INV-0000001263","株式会社大塚商会","株式会社大塚商会","2026-05-20","42240","CN-00000063","CP-00000061","","Rendery_Pro_月額利用料(ジェイアール北海道エンジニアリング株式会社分) / 数量:6 / 単価:6,400 / 金額:38,400 / 候補:[代理販売20%] Rendery Proプラン","P01","商品候補確認: 「Rendery_Pro_月額利用料(ジェイアール北海道エンジニアリング株式会社分)」 -> 「[代理販売20%] Rendery Proプラン」","明細「Rendery_Pro_月額利用料(ジェイアール北海道エンジニアリング株式会社分)」（数量 6、単価 6,400 円）を商品「[代理販売20%] Rendery Proプラン」としてよいか確認する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"27","中","商品未確定","MFIW-000260","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTme2AF/view","58690758","INV-0000001264","株式会社大塚商会","株式会社大塚商会","2026-05-20","14080","CN-00000063","CP-00000061","","Rendery_Pro_月額利用料_注文番号：405342479 / 数量:2 / 単価:6,400 / 金額:12,800 / 候補:[代理販売20%] Rendery Proプラン","P01","商品候補確認: 「Rendery_Pro_月額利用料_注文番号：405342479」 -> 「[代理販売20%] Rendery Proプラン」","明細「Rendery_Pro_月額利用料_注文番号：405342479」（数量 2、単価 6,400 円）を商品「[代理販売20%] Rendery Proプラン」としてよいか確認する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"28","中","商品未確定","MFIW-000264","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTmi2AF/view","58709686","INV-0000001269","日鉄興和不動産株式会社","日鉄興和不動産株式会社","2026-05-20","1848000","CN-00000078","CP-00000076","","Rendery Enterpriseプラン10アカウント_年払い / 数量:10 / 単価:180,000 / 金額:1,800,000 / 確定:[年払] Rendery Enterpriseプラン || 年払い割引 / 数量:10 / 単価:-12,000 / 金額:-120,000 / 商品未候補","P02","商品選択: 「年払い割引」","明細「年払い割引」（数量 10、単価 -12,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"29","中","契約・商品未確定","MFIW-000267","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTml2AF/view","58711460","INV-0000001272","近鉄不動産株式会社","近鉄不動産株式会社","2026-05-20","291500","","","","[月額費用]Rendery Enterpriseプラン_11アカウント / 数量:11 / 単価:15,000 / 金額:165,000 / 候補:Rendery Enterpriseプラン || [月額費用]セキュリティオプション+_運用費用 / 数量:1 / 単価:100,000 / 金額:100,000 / 候補:Rendery セキュリティオプション(SSO)_初期費用","C01,P01,P02","請求区分と契約先: 近鉄不動産株式会社 / 請求日: 2026-05-20 || 商品候補確認: 「[月額費用]Rendery Enterpriseプラン_11アカウント」 -> 「Rendery Enterpriseプラン」 || 商品選択: 「[月額費用]セキュリティオプション+_運用費用」","取引先「近鉄不動産株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。 明細「[月額費用]Rendery Enterpriseプラン_11アカウント」（数量 11、単価 15,000 円）を商品「Rendery Enterpriseプラン」としてよいか確認する。 明細「[月額費用]セキュリティオプション+_運用費用」（数量 1、単価 100,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
