"No","優先度","主原因","Work名","Salesforce URL","Freee請求書ID","取引先","請求日","請求金額","契約管理","契約期間","作成済み請求","確認コード","個別確認対象","自動反映可否","主担当","対応状況","確認結果","対応者","確認日","備考"
"11","中","契約・契約期間未確定","MFIW-000285","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59R2AR/view","54153846","九州旅客鉄道株式会社(博多設備区)","2026-03-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(博多設備区) / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"12","中","契約・契約期間未確定","MFIW-000286","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj59S2AR/view","54153848","株式会社ジョイフル本田","2026-03-20","60500","","","","C01","請求区分と契約先: 株式会社ジョイフル本田 / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"13","中","契約・契約期間未確定","MFIW-000291","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wio6k2AB/view","54248066","柏井建設株式会社","2026-03-20","82500","","","","C01","請求区分と契約先: 柏井建設株式会社 / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"14","中","契約・商品未確定","MFIW-000292","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wio6l2AB/view","54249842","株式会社トーケン","2026-03-20","1056000","","","","C01,P02","請求区分と契約先: 株式会社トーケン / 請求日: 2026-03-20 || 商品選択: 「Rendery_Pro_10アカウント_年間一括払い」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"15","中","契約・契約期間未確定","MFIW-000354","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhrC2AR/view","54153857","九州旅客鉄道株式会社(建設工事部施設課)","2026-03-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(建設工事部施設課) / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"16","中","契約・契約期間未確定","MFIW-000356","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhrE2AR/view","54153860","インフィニティ株式会社","2026-03-20","8800","","","","C01","請求区分と契約先: インフィニティ株式会社 / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"17","中","契約・商品未確定","MFIW-000357","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhrF2AR/view","54153861","東急リゾーツ＆ステイ株式会社","2026-03-20","108900","","","","C01,P01","請求区分と契約先: 東急リゾーツ＆ステイ株式会社 / 請求日: 2026-03-20 || 商品候補確認: 「Rendery　エンタープライズプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"18","中","商品未確定","MFIW-000359","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhrH2AR/view","54153863","株式会社前田工務店","2026-03-20","60500","","CP-00000007","","P01","商品候補確認: 「Rendery(エンタープライズプラン：1ヶ月)」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"19","中","契約・契約期間未確定","MFIW-000365","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhzH2AR/view","54153872","九州旅客鉄道株式会社(開発工事部)","2026-03-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(開発工事部) / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"20","中","契約・契約期間未確定","MFIW-000367","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhzJ2AR/view","54153877","株式会社ＬＩＸＩＬ住宅研究所","2026-03-20","8800","","","","C01","請求区分と契約先: 株式会社ＬＩＸＩＬ住宅研究所 / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"21","中","契約・商品未確定","MFIW-000368","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhzK2AR/view","54153879","株式会社アークフロンティア　テラスエステート","2026-03-20","123200","","","","C01,P02","請求区分と契約先: 株式会社アークフロンティア　テラスエステート / 請求日: 2026-03-20 || 商品選択: 「knock knock AI_Enterpriseプラン(月額)」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"22","中","契約・契約期間未確定","MFIW-000370","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhzM2AR/view","54246103","アイリスチトセ株式会社","2026-03-20","84700","","","","C01","請求区分と契約先: アイリスチトセ株式会社 / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"23","中","契約・契約期間未確定","MFIW-000371","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjhzN2AR/view","54246260","三菱地所株式会社(DX推進部)","2026-03-20","17600","","","","C01","請求区分と契約先: 三菱地所株式会社(DX推進部) / 請求日: 2026-03-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"24","高","既存請求明細との照合不一致","MFIW-000056","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtKGA2A3/view","54891605","株式会社ＬＩＸＩＬ住宅研究所","2026-03-27","176000","","CP-00000054","INV-0000000043","I01","明細照合: Salesforce請求「INV-0000000043」 / Freee請求書ID 54891605","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"25","中","契約・商品未確定","MFIW-000295","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wjfvr2AB/view","56527531","株式会社ヨコハマ地所","2026-04-20","12100","","","","C01,P01","請求区分と契約先: 株式会社ヨコハマ地所 / 請求日: 2026-04-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"26","中","商品未確定","MFIW-000296","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wjfvs2AB/view","56527532","リアルティホールディングス株式会社","2026-04-20","175450","","CP-00000126","","P02","商品選択: 「knock knock AI_Enterpriseプラン_1200クレジット」","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"27","中","契約・商品未確定","MFIW-000299","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wjfvv2AB/view","56527536","アグレ都市デザイン株式会社","2026-04-20","12100","","","","C01,P01","請求区分と契約先: アグレ都市デザイン株式会社 / 請求日: 2026-04-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"28","中","契約・契約期間未確定","MFIW-000301","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wjfvx2AB/view","56527538","株式会社JR東日本建築設計","2026-04-20","8800","","","","C01","請求区分と契約先: 株式会社JR東日本建築設計 / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"29","中","契約・契約期間未確定","MFIW-000302","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wjfvy2AB/view","56527539","アイリスオーヤマ株式会社(空間デザイン部)","2026-04-20","12100","","","","C01","請求区分と契約先: アイリスオーヤマ株式会社(空間デザイン部) / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"30","中","契約・契約期間未確定","MFIW-000303","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wjfvz2AB/view","56527540","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","2026-04-20","48400","","","","C01","請求区分と契約先: アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム) / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"31","中","契約・契約期間未確定","MFIW-000304","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wjfw02AB/view","56527541","九州旅客鉄道株式会社(博多設備区)","2026-04-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(博多設備区) / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"32","中","契約・契約期間未確定","MFIW-000305","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wjfw12AB/view","56527544","株式会社ジョイフル本田","2026-04-20","60500","","","","C01","請求区分と契約先: 株式会社ジョイフル本田 / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"33","中","契約・契約期間未確定","MFIW-000311","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wjfw72AB/view","56527552","九州旅客鉄道株式会社(建設工事部施設課)","2026-04-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(建設工事部施設課) / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"34","中","契約・契約期間未確定","MFIW-000313","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UA2AZ/view","56527554","インフィニティ株式会社","2026-04-20","8800","","","","C01","請求区分と契約先: インフィニティ株式会社 / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"35","中","契約・商品未確定","MFIW-000314","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UB2AZ/view","56527556","東急リゾーツ＆ステイ株式会社","2026-04-20","108900","","","","C01,P01","請求区分と契約先: 東急リゾーツ＆ステイ株式会社 / 請求日: 2026-04-20 || 商品候補確認: 「Rendery　エンタープライズプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"36","中","契約・契約期間未確定","MFIW-000321","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UI2AZ/view","56527564","九州旅客鉄道株式会社(開発工事部)","2026-04-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(開発工事部) / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"37","中","契約・契約期間未確定","MFIW-000323","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UK2AZ/view","56527566","株式会社ＬＩＸＩＬ住宅研究所","2026-04-20","8800","","","","C01","請求区分と契約先: 株式会社ＬＩＸＩＬ住宅研究所 / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"38","中","契約・商品未確定","MFIW-000325","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UM2AZ/view","56647918","福井コンピュータアーキテクト","2026-04-20","5181000","","","","C01,P02","請求区分と契約先: 福井コンピュータアーキテクト / 請求日: 2026-04-20 || 商品選択: 「着手金として」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"39","中","商品未確定","MFIW-000327","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UO2AZ/view","56676178","東急建設株式会社","2026-04-20","105600","","CP-00000005","","P02","商品選択: 「Rendery_Pro(2026年4月- 2027年3月)」","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"40","中","商品未確定","MFIW-000329","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UQ2AZ/view","56678351","株式会社大塚商会","2026-04-20","14080","","CP-00000061","","P01","商品候補確認: 「Rendery_Pro_月額利用料_注文番号：405016881」 -> 「[代理販売20%] Rendery Proプラン」","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"41","中","商品未確定","MFIW-000330","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UR2AZ/view","56678813","株式会社大塚商会","2026-04-20","7040","","CP-00000061","","P01","商品候補確認: 「Rendery_Pro_４月利用料(株式会社長谷建築設計事務所様)」 -> 「[代理販売20%] Rendery Proプラン」","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"42","中","契約・契約期間未確定","MFIW-000331","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5US2AZ/view","56679018","株式会社アーキテクト・ディベロッパー","2026-04-20","52800","","","","C01","請求区分と契約先: 株式会社アーキテクト・ディベロッパー / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"43","中","契約・契約期間未確定","MFIW-000332","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wj5UT2AZ/view","56680866","三菱地所株式会社(DX推進部)","2026-04-20","17600","","","","C01","請求区分と契約先: 三菱地所株式会社(DX推進部) / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"44","中","契約・商品未確定","MFIW-000334","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOi2AN/view","56681536","株式会社石勝エクステリア","2026-04-20","1716000","","","","C01,P02","請求区分と契約先: 株式会社石勝エクステリア / 請求日: 2026-04-20 || 商品選択: 「年払い割引」 || 商品選択: 「セキュリティオプション_シングルサインオン_運用費用_年払い」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"45","中","契約・契約期間未確定","MFIW-000335","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOj2AN/view","56682295","野村不動産株式会社","2026-04-20","198000","","","","C01","請求区分と契約先: 野村不動産株式会社 / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"46","中","契約・商品未確定","MFIW-000342","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOq2AN/view","56685582","近鉄不動産株式会社","2026-04-20","676500","","","","C01,P01,P02","請求区分と契約先: 近鉄不動産株式会社 / 請求日: 2026-04-20 || 商品候補確認: 「[月額費用]Rendery Enterpriseプラン_11アカウント」 -> 「Rendery Enterpriseプラン」 || 商品選択: 「[月額費用]セキュリティオプション+_運用費用」 || 商品選択: 「[初月のみ]セキュリティオプション+_初期コスト」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"47","中","契約・契約期間未確定","MFIW-000345","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOt2AN/view","56692848","アイリスチトセ株式会社","2026-04-20","84700","","","","C01","請求区分と契約先: アイリスチトセ株式会社 / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"48","中","契約・商品未確定","MFIW-000346","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOu2AN/view","56693657","株式会社フジタ","2026-04-20","924000","","","","C01,P02","請求区分と契約先: 株式会社フジタ / 請求日: 2026-04-20 || 商品選択: 「年払い割引」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"49","中","契約・商品未確定","MFIW-000349","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOx2AN/view","56697026","株式会社フジタ","2026-04-20","1293600","","","","C01,P02","請求区分と契約先: 株式会社フジタ / 請求日: 2026-04-20 || 商品選択: 「年払い割引」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"50","中","契約・商品未確定","MFIW-000350","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOy2AN/view","56698344","株式会社フジタ","2026-04-20","554400","","","","C01,P02","請求区分と契約先: 株式会社フジタ / 請求日: 2026-04-20 || 商品選択: 「年払い割引」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"51","中","契約・契約期間未確定","MFIW-000351","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOz2AN/view","56701208","株式会社JBリアルエステート","2026-04-20","12100","","","","C01","請求区分と契約先: 株式会社JBリアルエステート / 請求日: 2026-04-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"52","高","既存請求明細との照合不一致","MFIW-000087","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtKjB2AV/view","58268807","トヨタ・コニック・プロ株式会社","2026-05-12","0","","CP-00000168","INV-0000000074","I01","明細照合: Salesforce請求「INV-0000000074」 / Freee請求書ID 58268807","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"53","高","既存請求明細との照合不一致","MFIW-000090","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Usb9g2AB/view","58486360","株式会社ＬＩＸＩＬ住宅研究所","2026-05-15","3168000","","CP-00000054","INV-0000000006","I01","明細照合: Salesforce請求「INV-0000000006」 / Freee請求書ID 58486360","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"54","中","契約・契約期間未確定","MFIW-000222","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKM2A3/view","58573601","松栄不動産株式会社(アパマンショップ仙台東口店)","2026-05-20","12100","","","","C01","請求区分と契約先: 松栄不動産株式会社(アパマンショップ仙台東口店) / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"55","中","契約・契約期間未確定","MFIW-000224","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKO2A3/view","58573606","株式会社ハートランド","2026-05-20","12100","","","","C01","請求区分と契約先: 株式会社ハートランド / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"56","中","契約・契約期間未確定","MFIW-000225","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKP2A3/view","58573608","西和不動産株式会社 栗東店","2026-05-20","12100","","","","C01","請求区分と契約先: 西和不動産株式会社 栗東店 / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"57","中","契約・商品未確定","MFIW-000229","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKT2A3/view","58573614","株式会社ヨコハマ地所","2026-05-20","12100","","","","C01,P01","請求区分と契約先: 株式会社ヨコハマ地所 / 請求日: 2026-05-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"58","中","商品未確定","MFIW-000230","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKU2A3/view","58573616","リアルティホールディングス株式会社","2026-05-20","175450","","CP-00000126","","P02","商品選択: 「knock knock AI_Enterpriseプラン_1200クレジット」","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"59","中","契約・商品未確定","MFIW-000233","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKX2A3/view","58573621","アグレ都市デザイン株式会社","2026-05-20","12100","","","","C01,P01","請求区分と契約先: アグレ都市デザイン株式会社 / 請求日: 2026-05-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"60","中","契約・契約期間未確定","MFIW-000235","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKZ2A3/view","58573626","株式会社JR東日本建築設計","2026-05-20","8800","","","","C01","請求区分と契約先: 株式会社JR東日本建築設計 / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
