"Category","ContractId","AccountName","ContractName","ContractUpdate","StartDate","EndDate","LineCount","MinPeriodStart","MaxPeriodStart"
"NoFreeeWorkMatched","a04RB00000kUAOIYA4","九州旅客鉄道 株式会社","九州旅客鉄道株式会社　博多設備区","月","2025-05-01","","13","2025-05-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAOKYA4","アイリスオーヤマ株式会社","アイリスオーヤマ（ストアデザイン部）","月","2025-06-01","","12","2025-06-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAOLYA4","アイリスオーヤマ株式会社","アイリスオーヤマ（空間デザイン部）","月","2025-06-01","","12","2025-06-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAONYA4","九州旅客鉄道 株式会社","九州旅客鉄道株式会社　開発工事部","月","2025-06-01","","12","2025-06-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAOOYA4","株式会社 JR東日本建築設計","株式会社JR東日本建築設計","月","2025-07-01","","21","2025-07-01","2027-03-01"
"NoFreeeWorkMatched","a04RB00000kUAORYA4","JOA株式会社","JOA株式会社","月","2025-09-01","","9","2025-09-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAOVYA4","三菱地所株式会社","三菱地所株式会社(DX推進部)","月","2025-10-01","","8","2025-10-01","2026-05-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAOXYA4","株式会社コスモスイニシア","株式会社コスモスイニシア　建築本部","月","2025-10-01","","18","2025-10-01","2027-03-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAOYYA4","株式会社コスモスイニシア","株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）","年","2026-04-01","","12","2026-04-01","2027-03-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAOZYA4","株式会社コスモスイニシア","株式会社コスモスイニシア　事業本部（流通事業）","年","2025-10-01","","18","2025-10-01","2027-03-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAOaYAO","株式会社コスモスイニシア","株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）","年","2026-04-01","","12","2026-04-01","2027-03-01"
"NoFreeeWorkMatched","a04RB00000kUAOdYAO","生和コーポレーション株式会社","生和コーポレーション株式会社","月","2025-11-01","","6","2025-11-01","2026-04-01"
"NoFreeeWorkMatched","a04RB00000kUAOiYAO","大東建託株式会社","大東建託株式会社　商品開発部","年","2026-01-01","","12","2026-01-01","2026-12-01"
"NoFreeeWorkMatched","a04RB00000kUAOjYAO","三菱地所レジデンス株式会社","三菱地所レジデンス株式会社","月","2026-01-01","","7","2026-01-01","2026-08-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAOkYAO","株式会社石勝エクステリア","株式会社石勝エクステリア","年","2025-10-01","","18","2025-10-01","2027-03-01"
"NoFreeeWorkMatched","a04RB00000kUAOlYAO","株式会社フジタ","株式会社フジタ（調達本部　インテリア・ソリューション統括部　インテリア部）","年","2026-02-01","","14","2026-02-01","2027-03-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAOoYAO","株式会社アールシーコア","株式会社アールシーコア","月","2026-01-01","","4","2026-01-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAOqYAO","日鉄興和不動産株式会社","日鉄興和不動産株式会社","年","2026-02-01","","14","2026-02-01","2027-04-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAOrYAO","株式会社石勝エクステリア","株式会社石勝エクステリア(シングルサインオン分）","年","2025-10-01","","18","2025-10-01","2027-03-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAOsYAO","株式会社アールシーコア","株式会社アールシーコア(セキュリティオプション月額）","月","2026-01-01","","5","2026-01-01","2026-05-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAOvYAO","野村不動産株式会社","野村不動産株式会社","月","2026-04-01","","3","2026-04-01","2026-06-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAOwYAO","野村不動産株式会社","野村不動産株式会社（シングルサインオン分）","月","2026-04-01","","3","2026-04-01","2026-06-01"
"NoFreeeWorkMatched","a04RB00000kUAOxYAO","株式会社 トーケン","株式会社トーケン","年","2026-03-01","","12","2026-03-01","2027-02-01"
"NoFreeeWorkMatched","a04RB00000kUAP1YAO","株式会社紀伊國屋書店","株式会社紀伊國屋書店","月","2026-04-01","","2","2026-04-01","2026-05-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAP2YAO","株式会社サンケイビル","株式会社サンケイビル","年","2026-04-01","","12","2026-04-01","2027-03-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAP8YAO","近鉄不動産株式会社","近鉄不動産","月","2026-04-01","","3","2026-04-01","2026-06-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAP9YAO","近鉄不動産株式会社","近鉄不動産(セキュリティオプション月額）","月","2026-04-01","","2","2026-04-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAPBYA4","株式会社ルミネ","株式会社ルミネ","月","2026-04-01","","2","2026-04-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAPCYA4","株式会社フジタ","株式会社フジタ　BIM推進部","年","2026-04-01","","12","2026-04-01","2027-03-01"
"NoFreeeWorkMatched","a04RB00000kUAPDYA4","株式会社フジタ","株式会社フジタ　設計統括部","年","2026-04-01","","12","2026-04-01","2027-03-01"
"NoFreeeWorkMatched","a04RB00000kUAPFYA4","株式会社ジョイフル本田","株式会社ジョイフル本田（Pro１アカウント）","月","2026-06-01","","1","2026-06-01","2026-06-01"
"NoFreeeWorkMatched","a04RB00000kUAPGYA4","若築建設株式会社","若築建設株式会社","年","2026-05-01","","12","2026-05-01","2027-04-01"
"NoFreeeWorkMatched","a04RB00000kUAPHYA4","西日本旅客鉄道株式会社","西日本旅客鉄道株式会社 ビジネスデザイン部　JCLaaS事業部","月","2026-05-01","","1","2026-05-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAPIYA4","株式会社乃村工藝社","株式会社乃村工藝社  カルチャー・コミュニケーション推進本部","月","2026-05-01","","2","2026-05-01","2026-06-01"
"NoFreeeWorkMatched","a04RB00000kUAPJYA4","梅林建設株式会社","梅林建設株式会社","年","2026-06-01","","12","2026-06-01","2027-05-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAPKYA4","株式会社デザインアーク","株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所","月","2026-06-01","","1","2026-06-01","2026-06-01"
"NoFreeeWorkMatched","a04RB00000kUAPLYA4","NTTファシリティーズ","NTTファシリティーズ株式会社","月","2026-06-01","","1","2026-06-01","2026-06-01"
"NoFreeeWorkMatched","a04RB00000kUAPMYA4","小島屋","合同会社小島屋","月","2026-06-01","","1","2026-06-01","2026-06-01"
"FreeeWorkAccountMatchedOnly","a04RB00000kUAPNYA4","株式会社エリオクリエイト","株式会社エリオクリエイト","年","2026-06-01","","1","2026-06-01","2026-06-01"
"NoFreeeWorkMatched","a04RB00000kUAPOYA4","創建ホーム株式会社","株式会社創建ホーム","年","2026-06-01","","1","2026-06-01","2026-06-01"
"NoFreeeWorkMatched","a04RB00000kUAPVYA4","株式会社ハウスプラザ","ハウスプラザ","月","2024-10-01","","20","2024-10-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAPXYA4","株式会社イーグランド","株式会社イーグランド","月","2024-11-01","","19","2024-11-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAPZYA4","株式会社西武開発","株式会社西武開発","年","2024-12-01","","6","2024-12-01","2026-07-01"
"NoFreeeWorkMatched","a04RB00000kUAPbYAO","株式会社穂積住宅","株式会社穂積住宅","月","2024-12-01","","18","2024-12-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAPgYAO","ヨコハマ地所株式会社","株式会社ヨコハマ地所","月","2025-02-01","","16","2025-02-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAPjYAO","株式会社エージェント","株式会社エージェント","月","2025-02-01","","16","2025-02-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAPlYAO","株式会社博進コスモプラザ","株式会社博進コスモプラザ","月","2025-02-01","","16","2025-02-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAQ2YAO","ホームトレードセンター株式会社","ホームトレードセンター株式会社","月","2025-08-01","","10","2025-08-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAQ3YAO","株式会社アズスタット","株式会社アズスタット","月","2025-08-01","","10","2025-08-01","2026-05-01"
"NoFreeeWorkMatched","a04RB00000kUAQ6YAO","株式会社レーベントラスト","株式会社レーベントラスト","月","2025-09-01","","9","2025-09-01","2026-05-01"
