"Classification","ContractId","ContractName","RecordName","AccountName","StartDate","EndDate","ContractUpdate","NextInvoiceCreationDate","LineCount","PastOrCurrentLineCount","FutureLineCount","MinPeriodStart","MaxPeriodStart","ProductMissingLineCount"
"ImmediateAction","a04RB00000kUAOoYAO","株式会社アールシーコア","CN-00000076","株式会社アールシーコア","2026-01-01","","月","","4","4","0","2026-01-01","2026-05-01","4"
"ImmediateAction","a04RB00000kUAOqYAO","日鉄興和不動産株式会社","CN-00000078","日鉄興和不動産株式会社","2026-02-01","","年","","14","4","10","2026-02-01","2027-04-01","14"
"ImmediateAction","a04RB00000kUAOrYAO","株式会社石勝エクステリア(シングルサインオン分）","CN-00000079","株式会社石勝エクステリア","2025-10-01","","年","","18","9","9","2025-10-01","2027-03-01","18"
"ImmediateAction","a04RB00000kUAOsYAO","株式会社アールシーコア(セキュリティオプション月額）","CN-00000080","株式会社アールシーコア","2026-01-01","","月","","5","5","0","2026-01-01","2026-05-01","5"
"ImmediateAction","a04RB00000kUAOvYAO","野村不動産株式会社","CN-00000083","野村不動産株式会社","2026-04-01","","月","","3","3","0","2026-04-01","2026-06-01","3"
"ImmediateAction","a04RB00000kUAOwYAO","野村不動産株式会社（シングルサインオン分）","CN-00000084","野村不動産株式会社","2026-04-01","","月","","3","3","0","2026-04-01","2026-06-01","3"
"ImmediateAction","a04RB00000kUAOxYAO","株式会社トーケン","CN-00000085","株式会社 トーケン","2026-03-01","","年","","12","4","8","2026-03-01","2027-02-01","12"
"ImmediateAction","a04RB00000kUAP1YAO","株式会社紀伊國屋書店","CN-00000089","株式会社紀伊國屋書店","2026-04-01","","月","","2","2","0","2026-04-01","2026-05-01","2"
"ImmediateAction","a04RB00000kUAP2YAO","株式会社サンケイビル","CN-00000090","株式会社サンケイビル","2026-04-01","","年","","12","3","9","2026-04-01","2027-03-01","12"
"ImmediateAction","a04RB00000kUAP8YAO","近鉄不動産","CN-00000096","近鉄不動産株式会社","2026-04-01","","月","","3","3","0","2026-04-01","2026-06-01","3"
"ImmediateAction","a04RB00000kUAP9YAO","近鉄不動産(セキュリティオプション月額）","CN-00000097","近鉄不動産株式会社","2026-04-01","","月","","2","2","0","2026-04-01","2026-05-01","2"
"ImmediateAction","a04RB00000kUAPBYA4","株式会社ルミネ","CN-00000099","株式会社ルミネ","2026-04-01","","月","","2","2","0","2026-04-01","2026-05-01","2"
"ImmediateAction","a04RB00000kUAPCYA4","株式会社フジタ　BIM推進部","CN-00000100","株式会社フジタ","2026-04-01","","年","","12","3","9","2026-04-01","2027-03-01","12"
"ImmediateAction","a04RB00000kUAPDYA4","株式会社フジタ　設計統括部","CN-00000101","株式会社フジタ","2026-04-01","","年","","12","3","9","2026-04-01","2027-03-01","12"
"ImmediateAction","a04RB00000kUAPFYA4","株式会社ジョイフル本田（Pro１アカウント）","CN-00000103","株式会社ジョイフル本田","2026-06-01","","月","","1","1","0","2026-06-01","2026-06-01","1"
"ImmediateAction","a04RB00000kUAPGYA4","若築建設株式会社","CN-00000104","若築建設株式会社","2026-05-01","","年","","12","2","10","2026-05-01","2027-04-01","12"
"ImmediateAction","a04RB00000kUAPHYA4","西日本旅客鉄道株式会社 ビジネスデザイン部　JCLaaS事業部","CN-00000105","西日本旅客鉄道株式会社","2026-05-01","","月","","1","1","0","2026-05-01","2026-05-01","1"
"ImmediateAction","a04RB00000kUAPIYA4","株式会社乃村工藝社  カルチャー・コミュニケーション推進本部","CN-00000106","株式会社乃村工藝社","2026-05-01","","月","","2","2","0","2026-05-01","2026-06-01","2"
"ImmediateAction","a04RB00000kUAPJYA4","梅林建設株式会社","CN-00000107","梅林建設株式会社","2026-06-01","","年","","12","1","11","2026-06-01","2027-05-01","12"
"ImmediateAction","a04RB00000kUAPKYA4","株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所","CN-00000108","株式会社デザインアーク","2026-06-01","","月","","1","1","0","2026-06-01","2026-06-01","1"
"ImmediateAction","a04RB00000kUAPLYA4","NTTファシリティーズ株式会社","CN-00000109","NTTファシリティーズ","2026-06-01","","月","","1","1","0","2026-06-01","2026-06-01","1"
"ImmediateAction","a04RB00000kUAPMYA4","合同会社小島屋","CN-00000110","小島屋","2026-06-01","","月","","1","1","0","2026-06-01","2026-06-01","1"
"ImmediateAction","a04RB00000kUAPNYA4","株式会社エリオクリエイト","CN-00000111","株式会社エリオクリエイト","2026-06-01","","年","","1","1","0","2026-06-01","2026-06-01","1"
"ImmediateAction","a04RB00000kUAPOYA4","株式会社創建ホーム","CN-00000112","創建ホーム株式会社","2026-06-01","","年","","1","1","0","2026-06-01","2026-06-01","1"
"ImmediateAction","a04RB00000kUAPVYA4","ハウスプラザ","CN-00000119","株式会社ハウスプラザ","2024-10-01","","月","","20","20","0","2024-10-01","2026-05-01","20"
"ImmediateAction","a04RB00000kUAPXYA4","株式会社イーグランド","CN-00000121","株式会社イーグランド","2024-11-01","","月","","19","19","0","2024-11-01","2026-05-01","19"
"ImmediateAction","a04RB00000kUAPZYA4","株式会社西武開発","CN-00000123","株式会社西武開発","2024-12-01","","年","","6","5","1","2024-12-01","2026-07-01","6"
"ImmediateAction","a04RB00000kUAPbYAO","株式会社穂積住宅","CN-00000125","株式会社穂積住宅","2024-12-01","","月","","18","18","0","2024-12-01","2026-05-01","18"
"ImmediateAction","a04RB00000kUAPgYAO","株式会社ヨコハマ地所","CN-00000130","ヨコハマ地所株式会社","2025-02-01","","月","","16","16","0","2025-02-01","2026-05-01","16"
"ImmediateAction","a04RB00000kUAPjYAO","株式会社エージェント","CN-00000133","株式会社エージェント","2025-02-01","","月","","16","16","0","2025-02-01","2026-05-01","16"
"ImmediateAction","a04RB00000kUAPlYAO","株式会社博進コスモプラザ","CN-00000135","株式会社博進コスモプラザ","2025-02-01","","月","","16","16","0","2025-02-01","2026-05-01","16"
"ImmediateAction","a04RB00000kUAQ2YAO","ホームトレードセンター株式会社","CN-00000152","ホームトレードセンター株式会社","2025-08-01","","月","","10","10","0","2025-08-01","2026-05-01","10"
"ImmediateAction","a04RB00000kUAQ3YAO","株式会社アズスタット","CN-00000153","株式会社アズスタット","2025-08-01","","月","","10","10","0","2025-08-01","2026-05-01","10"
"ImmediateAction","a04RB00000kUAQ6YAO","株式会社レーベントラスト","CN-00000156","株式会社レーベントラスト","2025-09-01","","月","","9","9","0","2025-09-01","2026-05-01","9"
