Id,Name,ContractName__c,Account__c,Account__r.Name,StartDate__c,EndDate__c,ContractUpdate__c,NextInvoiceCreationDate__c,RenewalStop__c
a04RB00000kUAOYYA4,CN-00000060,株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）,001RB00001VTqgBYAT,株式会社コスモスイニシア,2026-04-01,,年,,false
a04RB00000kUAOZYA4,CN-00000061,株式会社コスモスイニシア　事業本部（流通事業）,001RB00001VTqgBYAT,株式会社コスモスイニシア,2025-10-01,,年,,false
a04RB00000kUAOaYAO,CN-00000062,株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）,001RB00001VTqgBYAT,株式会社コスモスイニシア,2026-04-01,,年,,false
a04RB00000kUAOdYAO,CN-00000065,生和コーポレーション株式会社,001RB00001VTqmcYAD,生和コーポレーション株式会社,2025-11-01,,月,,false
a04RB00000kUAOiYAO,CN-00000070,大東建託株式会社　商品開発部,001RB00001VTruMYAT,大東建託株式会社,2026-01-01,,年,,false
a04RB00000kUAOjYAO,CN-00000071,三菱地所レジデンス株式会社,001RB00001VTqf7YAD,三菱地所レジデンス株式会社,2026-01-01,,月,,false
a04RB00000kUAOkYAO,CN-00000072,株式会社石勝エクステリア,001RB00001VTqnMYAT,株式会社石勝エクステリア,2025-10-01,,年,,false
a04RB00000kUAOlYAO,CN-00000073,株式会社フジタ（調達本部　インテリア・ソリューション統括部　インテリア部）,001RB00001VTrwFYAT,株式会社フジタ,2026-02-01,,年,,false
a04RB00000kUAOoYAO,CN-00000076,株式会社アールシーコア,001RB00001VTqxQYAT,株式会社アールシーコア,2026-01-01,,月,,false
a04RB00000kUAOqYAO,CN-00000078,日鉄興和不動産株式会社,001RB00001VTrnKYAT,日鉄興和不動産株式会社,2026-02-01,,年,,false
a04RB00000kUAOrYAO,CN-00000079,株式会社石勝エクステリア(シングルサインオン分）,001RB00001VTqnMYAT,株式会社石勝エクステリア,2025-10-01,,年,,false
a04RB00000kUAOsYAO,CN-00000080,株式会社アールシーコア(セキュリティオプション月額）,001RB00001VTqxQYAT,株式会社アールシーコア,2026-01-01,,月,,false
a04RB00000kUAOvYAO,CN-00000083,野村不動産株式会社,001RB00001VTCYEYA5,野村不動産株式会社,2026-04-01,,月,,false
a04RB00000kUAOwYAO,CN-00000084,野村不動産株式会社（シングルサインオン分）,001RB00001VTCYEYA5,野村不動産株式会社,2026-04-01,,月,,false
a04RB00000kUAOxYAO,CN-00000085,株式会社トーケン,001RB00001VTrHrYAL,株式会社 トーケン,2026-03-01,,年,,false
a04RB00000kUAP1YAO,CN-00000089,株式会社紀伊國屋書店,001RB00001VTrUSYA1,株式会社紀伊國屋書店,2026-04-01,,月,,false
a04RB00000kUAP2YAO,CN-00000090,株式会社サンケイビル,001RB00001VTrvXYAT,株式会社サンケイビル,2026-04-01,,年,,false
a04RB00000kUAP8YAO,CN-00000096,近鉄不動産,001RB00001VTrvcYAD,近鉄不動産株式会社,2026-04-01,,月,,false
a04RB00000kUAP9YAO,CN-00000097,近鉄不動産(セキュリティオプション月額）,001RB00001VTrvcYAD,近鉄不動産株式会社,2026-04-01,,月,,false
a04RB00000kUAPBYA4,CN-00000099,株式会社ルミネ,001RB00001VTrYEYA1,株式会社ルミネ,2026-04-01,,月,,false
a04RB00000kUAPCYA4,CN-00000100,株式会社フジタ　BIM推進部,001RB00001VTrwFYAT,株式会社フジタ,2026-04-01,,年,,false
a04RB00000kUAPDYA4,CN-00000101,株式会社フジタ　設計統括部,001RB00001VTrwFYAT,株式会社フジタ,2026-04-01,,年,,false
a04RB00000kUAPFYA4,CN-00000103,株式会社ジョイフル本田（Pro１アカウント）,001RB00001VTqkQYAT,株式会社ジョイフル本田,2026-06-01,,月,,false
a04RB00000kUAPGYA4,CN-00000104,若築建設株式会社,001RB00001VTrmvYAD,若築建設株式会社,2026-05-01,,年,,false
a04RB00000kUAPHYA4,CN-00000105,西日本旅客鉄道株式会社 ビジネスデザイン部　JCLaaS事業部,001RB00001VTro2YAD,西日本旅客鉄道株式会社,2026-05-01,,月,,false
a04RB00000kUAPIYA4,CN-00000106,株式会社乃村工藝社  カルチャー・コミュニケーション推進本部,001RB00001VTCZZYA5,株式会社乃村工藝社,2026-05-01,,月,,false
a04RB00000kUAPJYA4,CN-00000107,梅林建設株式会社,001RB00001VTrkSYAT,梅林建設株式会社,2026-06-01,,年,,false
a04RB00000kUAPKYA4,CN-00000108,株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所,001RB00001VTruAYAT,株式会社デザインアーク,2026-06-01,,月,,false
a04RB00000kUAPLYA4,CN-00000109,NTTファシリティーズ株式会社,001RB00001VTrnrYAD,NTTファシリティーズ,2026-06-01,,月,,false
a04RB00000kUAPMYA4,CN-00000110,合同会社小島屋,001RB00001VTruZYAT,小島屋,2026-06-01,,月,,false
a04RB00000kUAPNYA4,CN-00000111,株式会社エリオクリエイト,001RB00001VTrxYYAT,株式会社エリオクリエイト,2026-06-01,,年,,false
a04RB00000kUAPOYA4,CN-00000112,株式会社創建ホーム,001RB00001VTrm3YAD,創建ホーム株式会社,2026-06-01,,年,,false
a04RB00000kUAPVYA4,CN-00000119,ハウスプラザ,001RB00001VTqZpYAL,株式会社ハウスプラザ,2024-10-01,,月,,false
a04RB00000kUAPXYA4,CN-00000121,株式会社イーグランド,001RB00001VTqZVYA1,株式会社イーグランド,2024-11-01,,月,,false
a04RB00000kUAPZYA4,CN-00000123,株式会社西武開発,001RB00001VTqaIYAT,株式会社西武開発,2024-12-01,,年,,false
a04RB00000kUAPbYAO,CN-00000125,株式会社穂積住宅,001RB00001VTqaGYAT,株式会社穂積住宅,2024-12-01,,月,,false
a04RB00000kUAPgYAO,CN-00000130,株式会社ヨコハマ地所,001RB00001VTqYlYAL,ヨコハマ地所株式会社,2025-02-01,,月,,false
a04RB00000kUAPjYAO,CN-00000133,株式会社エージェント,001RB00001VTqZWYA1,株式会社エージェント,2025-02-01,,月,,false
a04RB00000kUAPlYAO,CN-00000135,株式会社博進コスモプラザ,001RB00001VTtIXYA1,株式会社博進コスモプラザ,2025-02-01,,月,,false
a04RB00000kUAQ2YAO,CN-00000152,ホームトレードセンター株式会社,001RB00001VTqnbYAD,ホームトレードセンター株式会社,2025-08-01,,月,,false
a04RB00000kUAQ3YAO,CN-00000153,株式会社アズスタット,001RB00001VTqnHYAT,株式会社アズスタット,2025-08-01,,月,,false
a04RB00000kUAQ6YAO,CN-00000156,株式会社レーベントラスト,001RB00001VTqbqYAD,株式会社レーベントラスト,2025-09-01,,月,,false
