"Priority","ContractId","ContractName","Status","NoBillingType","FreeeWorkMatch","LineCount","PeriodRange","Policy"
"中","a04RB00000kUANuYAO","リリカラ(大塚商会)","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","24","2024-11-01 - 2026-10-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAOOYA4","株式会社JR東日本建築設計","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","21","2025-07-01 - 2027-03-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUANwYAO","株式会社TRIAD","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","17","2025-01-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAQ3YAO","株式会社アズスタット","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","10","2025-08-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPXYA4","株式会社イーグランド","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","19","2024-11-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPjYAO","株式会社エージェント","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","16","2025-02-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPFYA4","株式会社ジョイフル本田（Pro１アカウント）","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","1","2026-06-01 - 2026-06-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAOxYAO","株式会社トーケン","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","12","2026-03-01 - 2027-02-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPCYA4","株式会社フジタ　BIM推進部","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","12","2026-04-01 - 2027-03-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPDYA4","株式会社フジタ　設計統括部","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","12","2026-04-01 - 2027-03-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAOlYAO","株式会社フジタ（調達本部　インテリア・ソリューション統括部　インテリア部）","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","14","2026-02-01 - 2027-03-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPgYAO","株式会社ヨコハマ地所","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","16","2025-02-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPBYA4","株式会社ルミネ","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","2","2026-04-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAQ6YAO","株式会社レーベントラスト","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","9","2025-09-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAP1YAO","株式会社紀伊國屋書店","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","2","2026-04-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPZYA4","株式会社西武開発","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","6","2024-12-01 - 2026-07-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPOYA4","株式会社創建ホーム","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","1","2026-06-01 - 2026-06-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPIYA4","株式会社乃村工藝社  カルチャー・コミュニケーション推進本部","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","2","2026-05-01 - 2026-06-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPlYAO","株式会社博進コスモプラザ","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","16","2025-02-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPbYAO","株式会社穂積住宅","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","18","2024-12-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAO7YAO","吉村紳　一級建築士事務所","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","14","2025-04-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAONYA4","九州旅客鉄道株式会社　開発工事部","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","12","2025-06-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUANxYAO","九州旅客鉄道株式会社　工事部施設課","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","18","2024-12-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAOIYA4","九州旅客鉄道株式会社　博多設備区","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","13","2025-05-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPMYA4","合同会社小島屋","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","1","2026-06-01 - 2026-06-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAO6YAO","佐伯綜合建設(大塚商会)","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","24","2025-02-01 - 2027-01-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAOjYAO","三菱地所レジデンス株式会社","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","7","2026-01-01 - 2026-08-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAOVYA4","三菱地所株式会社(DX推進部)","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","8","2025-10-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPGYA4","若築建設株式会社","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","12","2026-05-01 - 2027-04-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAOdYAO","生和コーポレーション株式会社","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","6","2025-11-01 - 2026-04-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPHYA4","西日本旅客鉄道株式会社 ビジネスデザイン部　JCLaaS事業部","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","1","2026-05-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUANjYAO","前田工務店","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","19","2024-10-01 - 2026-04-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAOiYAO","大東建託株式会社　商品開発部","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","12","2026-01-01 - 2026-12-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUANqYAO","東急リゾーツ＆ステイ","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","20","2024-11-01 - 2026-06-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUANgYAO","東急株式会社","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","20","2024-10-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUANhYAO","東急建設 ○独特の請求書式あり","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","29","2024-09-01 - 2027-03-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAOqYAO","日鉄興和不動産株式会社","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","14","2026-02-01 - 2027-04-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAPJYA4","梅林建設株式会社","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","12","2026-06-01 - 2027-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAOFYA4","野原グループ株式会社","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","13","2025-05-01 - 2026-05-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"中","a04RB00000kUAO9YAO","矢作建設工業株式会社","Activated","C. 契約月次明細あり・請求なし","NoFreeeWorkMatched","14","2025-04-01 - 2026-07-01","freee請求Workが見つからない。freee請求取込対象外、取引先不一致、請求未作成のいずれかを確認する。必要ならfreee請求Work再取得または手動請求作成。"
"高","a04RB00000kUAPiYAO","株式会社Housebank千葉","Activated","D. 契約月次明細なし・請求なし","未分類/別途確認","","","先に契約月次明細の作成要否を確認。月次明細が必要な契約なら作成後、請求紐づけを行う。"
