"TopCategory","BillingLinkStatus","Category","Status","Id","ContractName"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPPYA4","株式会社リアルエステートブラザーズ"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPQYA4","株式会社四ツ橋"
"それ以外の契約管理","請求紐づきなし","D. 契約月次明細なし・請求なし","解約","a04RB00000kUAPRYA4","ムゲンエステート"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPSYA4","三井不動産レジデンシャルリース"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPTYA4","タクエーホーム株式会社"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPUYA4","㈱渚工務店 SmileHome"
"有効な契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","Activated","a04RB00000kUAPVYA4","ハウスプラザ"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPWYA4","アグレ都市デザイン株式会社"
"有効な契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","Activated","a04RB00000kUAPXYA4","株式会社イーグランド"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPYYA4","ドアーズ株式会社"
"有効な契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","Activated","a04RB00000kUAPZYA4","株式会社西武開発"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPaYAO","わくわく不動産"
"有効な契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","Activated","a04RB00000kUAPbYAO","株式会社穂積住宅"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPcYAO","有限会社タイセイプラン"
"有効な契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Activated","a04RB00000kUAPdYAO","リアルティホールディングス株式会社"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPeYAO","株式会社ライフラインサービス"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPfYAO","株式会社シアーズホーム(旧：株式会社サンタ不動産）"
"有効な契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","Activated","a04RB00000kUAPgYAO","株式会社ヨコハマ地所"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPhYAO","株式会社Housebank千葉"
"有効な契約管理","請求紐づきなし","D. 契約月次明細なし・請求なし","Activated","a04RB00000kUAPiYAO","株式会社Housebank千葉"
"有効な契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","Activated","a04RB00000kUAPjYAO","株式会社エージェント"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPkYAO","株式会社ヤマユウ"
"有効な契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","Activated","a04RB00000kUAPlYAO","株式会社博進コスモプラザ"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPmYAO","富士ハウジング神戸支店"
"有効な契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Activated","a04RB00000kUAPnYAO","株式会社香川不動産買取センター"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPoYAO","リユースせいわ 西和不動産株式会社 栗東店"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPpYAO","西和不動産株式会社 イエしが 草津店"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPqYAO","西和不動産株式会社 イエしが 大津店"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPrYAO","株式会社サンホームズ"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPsYAO","有限会社山陽不動産"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPtYAO","株式会社Machidaホールディングス"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPuYAO","株式会社西武開発"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPvYAO","中尾建設工業株式会社(ナカオホーム)"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPwYAO","株式会社ハートランド"
"有効な契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Activated","a04RB00000kUAPxYAO","ONETEAM不動産"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAPyYAO","松栄不動産株式会社"
"有効な契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Activated","a04RB00000kUAPzYAO","TC神鋼不動産株式会社"
"有効な契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Activated","a04RB00000kUAQ0YAO","株式会社TAKUTO"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAQ1YAO","株式会社グローバルセンター"
"有効な契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","Activated","a04RB00000kUAQ2YAO","ホームトレードセンター株式会社"
"有効な契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","Activated","a04RB00000kUAQ3YAO","株式会社アズスタット"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAQ4YAO","株式会社 秀建"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAQ5YAO","株式会社アークフロンティア　テラスエステート"
"有効な契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","Activated","a04RB00000kUAQ6YAO","株式会社レーベントラスト"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAQ7YAO","株式会社CHINTAI"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAQ8YAO","東京建物不動産販売株式会社　※10月のみ"
"有効な契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Activated","a04RB00000kUAQ9YAO","株式会社 三福管理センター"
"有効な契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Activated","a04RB00000kUAQAYA4","株式会社ケン・プロパティマネジメント"
"有効な契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Activated","a04RB00000kUAQBYA4","株式会社建新"
"有効な契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Activated","a04RB00000kUAQCYA4","株式会社夢のおてつだい"
"それ以外の契約管理","請求紐づきなし","C. 契約月次明細あり・請求なし","解約","a04RB00000kUAQDYA4","株式会社JBリアルエステート"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7JYAW","Mig_freee請求移行_アイリスチトセ株式会社"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7KYAW","Mig_freee請求移行_クウジット株式会社"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7LYAW","Mig_freee請求移行_コクヨ 株式会社"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7MYAW","Mig_freee請求移行_さいたま家づくりネットワーク事務局"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7NYAW","Mig_freee請求移行_どさんこ不動産"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7OYAW","Mig_freee請求移行_トヨタコニックプロ株式会社"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7PYAW","Mig_freee請求移行_プラス株式会社"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7QYAW","Mig_freee請求移行_リユースせいわ 西和不動産株式会社 栗東店"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7RYAW","Mig_freee請求移行_株式会社LIXIL"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7SYAW","Mig_freee請求移行_株式会社アールシーコア"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7TYAW","Mig_freee請求移行_株式会社アイ・キューブ"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7UYAW","Mig_freee請求移行_株式会社エリオクリエイト"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7VYAW","Mig_freee請求移行_株式会社コスモスイニシア"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7WYAW","Mig_freee請求移行_株式会社サンケイビル"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7XYAW","Mig_freee請求移行_株式会社スタッコ"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7YYAW","Mig_freee請求移行_株式会社デザインアーク"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7ZYAW","Mig_freee請求移行_株式会社ハートランド"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7aYAG","Mig_freee請求移行_株式会社石勝エクステリア"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7bYAG","Mig_freee請求移行_株式会社中村不動産開発"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7cYAG","Mig_freee請求移行_近鉄不動産株式会社"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7dYAG","Mig_freee請求移行_合同会社髙木秀太事務所 NOI STUDIO"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7eYAG","Mig_freee請求移行_三菱商事 株式会社"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7fYAG","Mig_freee請求移行_松栄不動産株式会社"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7gYAG","Mig_freee請求移行_神奈川県知事　黒岩　祐治"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7hYAG","Mig_freee請求移行_帝国不動産株式会社"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7iYAG","Mig_freee請求移行_東急不動産株式会社"
"それ以外の契約管理","請求紐づきあり","A. 請求が契約管理に直接紐づく","Draft","a04RB00000kVL7jYAG","Mig_freee請求移行_野村不動産株式会社"
