"Id","ContractName","Status","Category","HasDirectInvoice","HasMonthlyLine","HasMonthlyRelatedInvoice"
"a04RB00000kUAODYA4","アイリスオーヤマ（空間デザイン部）","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOEYA4","株式会社アーキテクト・ディベロッパー（5月1日より帝国不動産株式会社）","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAOFYA4","野原グループ株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOGYA4","高松テクノサービス株式会社　＊年払い、特別価格","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOHYA4","株式会社ジョイフル本田","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOIYA4","九州旅客鉄道株式会社　博多設備区","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOJYA4","アイリスチトセ株式会社","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOKYA4","アイリスオーヤマ（ストアデザイン部）","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOLYA4","アイリスオーヤマ（空間デザイン部）","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOMYA4","ショウワ グループ株式会社","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAONYA4","九州旅客鉄道株式会社　開発工事部","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOOYA4","株式会社JR東日本建築設計","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOPYA4","大東建託株式会社","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOQYA4","株式会社 一条工務店","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAORYA4","JOA株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOSYA4","株式会社B-PROJECT","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOTYA4","三井不動産レジデンシャルリース株式会社(ソリューション推進部)","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAOUYA4","株式会社LIXIL住宅研究所 リノベーション推進室","Activated","A. 請求が契約管理に直接紐づく","True","True","False"
"a04RB00000kUAOVYA4","三菱地所株式会社(DX推進部)","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOWYA4","株式会社コスモスイニシア　デジタル推進部門","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOXYA4","株式会社コスモスイニシア　建築本部","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOYYA4","株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOZYA4","株式会社コスモスイニシア　事業本部（流通事業）","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOaYAO","株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAObYAO","大塚商会（大和財宅）","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAOcYAO","株式会社アットオフィス　デザイン企画部","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOdYAO","生和コーポレーション株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOeYAO","西日本旅客鉄道株式会社　金沢支社　金沢建築区","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOfYAO","株式会社三越伊勢丹プロパティデザイン","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAOgYAO","豊通ファシリティーズ株式会社　建築・設計部","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAOhYAO","フロンヴィルホームズ名古屋株式会社","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAOiYAO","大東建託株式会社　商品開発部","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOjYAO","三菱地所レジデンス株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOkYAO","株式会社石勝エクステリア","Activated","B. 直接請求なし・契約月次明細経由で請求あり","False","True","True"
"a04RB00000kUAOlYAO","株式会社フジタ（調達本部　インテリア・ソリューション統括部　インテリア部）","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOmYAO","（三ヶ月のみ契約）前田建設工業株式会社","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOnYAO","ジーク株式会社","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAOoYAO","株式会社アールシーコア","Activated","B. 直接請求なし・契約月次明細経由で請求あり","False","True","True"
"a04RB00000kUAOpYAO","株式会社錢高組","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAOqYAO","日鉄興和不動産株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOrYAO","株式会社石勝エクステリア(シングルサインオン分）","Activated","B. 直接請求なし・契約月次明細経由で請求あり","False","True","True"
"a04RB00000kUAOsYAO","株式会社アールシーコア(セキュリティオプション月額）","Activated","B. 直接請求なし・契約月次明細経由で請求あり","False","True","True"
"a04RB00000kUAOtYAO","Phantom株式会社","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAOuYAO","大東建託株式会社 流通設計部","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOvYAO","野村不動産株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOwYAO","野村不動産株式会社（シングルサインオン分）","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOxYAO","株式会社トーケン","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAOyYAO","花菱不動産株式会社","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAOzYAO","コンチネンタルホーム株式会社","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAP0YAO","柏井建設株式会社","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAP1YAO","株式会社紀伊國屋書店","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAP2YAO","株式会社サンケイビル","Activated","B. 直接請求なし・契約月次明細経由で請求あり","False","True","True"
"a04RB00000kUAP3YAO","三井住友建設株式会社","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAP4YAO","Asplead株式会社","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAP5YAO","スタイルテック総合計画","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAP6YAO","株式会社ecoaハウス","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAP7YAO","株式会社ドムコス","Activated","A. 請求が契約管理に直接紐づく","True","True","False"
"a04RB00000kUAP8YAO","近鉄不動産","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAP9YAO","近鉄不動産(セキュリティオプション月額）","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPAYA4","フィールド・デザイン・アーキテクツ一級建築士事務所","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAPBYA4","株式会社ルミネ","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPCYA4","株式会社フジタ　BIM推進部","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPDYA4","株式会社フジタ　設計統括部","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPEYA4","株式会社安井建築設計事務所","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAPFYA4","株式会社ジョイフル本田（Pro１アカウント）","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPGYA4","若築建設株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPHYA4","西日本旅客鉄道株式会社 ビジネスデザイン部　JCLaaS事業部","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPIYA4","株式会社乃村工藝社  カルチャー・コミュニケーション推進本部","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPJYA4","梅林建設株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPKYA4","株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPLYA4","NTTファシリティーズ株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPMYA4","合同会社小島屋","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPNYA4","株式会社エリオクリエイト","Activated","B. 直接請求なし・契約月次明細経由で請求あり","False","True","True"
"a04RB00000kUAPOYA4","株式会社創建ホーム","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPPYA4","株式会社リアルエステートブラザーズ","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPQYA4","株式会社四ツ橋","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPRYA4","ムゲンエステート","解約","D. 契約月次明細なし・請求なし","False","False","False"
"a04RB00000kUAPSYA4","三井不動産レジデンシャルリース","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPTYA4","タクエーホーム株式会社","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPUYA4","㈱渚工務店 SmileHome","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPVYA4","ハウスプラザ","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPWYA4","アグレ都市デザイン株式会社","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPXYA4","株式会社イーグランド","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPYYA4","ドアーズ株式会社","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPZYA4","株式会社西武開発","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPaYAO","わくわく不動産","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPbYAO","株式会社穂積住宅","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPcYAO","有限会社タイセイプラン","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPdYAO","リアルティホールディングス株式会社","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAPeYAO","株式会社ライフラインサービス","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPfYAO","株式会社シアーズホーム(旧：株式会社サンタ不動産）","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPgYAO","株式会社ヨコハマ地所","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPhYAO","株式会社Housebank千葉","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPiYAO","株式会社Housebank千葉","Activated","D. 契約月次明細なし・請求なし","False","False","False"
"a04RB00000kUAPjYAO","株式会社エージェント","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPkYAO","株式会社ヤマユウ","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPlYAO","株式会社博進コスモプラザ","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPmYAO","富士ハウジング神戸支店","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPnYAO","株式会社香川不動産買取センター","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAPoYAO","リユースせいわ 西和不動産株式会社 栗東店","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPpYAO","西和不動産株式会社 イエしが 草津店","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPqYAO","西和不動産株式会社 イエしが 大津店","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPrYAO","株式会社サンホームズ","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPsYAO","有限会社山陽不動産","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPtYAO","株式会社Machidaホールディングス","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPuYAO","株式会社西武開発","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPvYAO","中尾建設工業株式会社(ナカオホーム)","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPwYAO","株式会社ハートランド","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPxYAO","ONETEAM不動産","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAPyYAO","松栄不動産株式会社","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAPzYAO","TC神鋼不動産株式会社","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAQ0YAO","株式会社TAKUTO","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAQ1YAO","株式会社グローバルセンター","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAQ2YAO","ホームトレードセンター株式会社","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAQ3YAO","株式会社アズスタット","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAQ4YAO","株式会社 秀建","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAQ5YAO","株式会社アークフロンティア　テラスエステート","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAQ6YAO","株式会社レーベントラスト","Activated","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAQ7YAO","株式会社CHINTAI","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAQ8YAO","東京建物不動産販売株式会社　※10月のみ","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kUAQ9YAO","株式会社 三福管理センター","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAQAYA4","株式会社ケン・プロパティマネジメント","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAQBYA4","株式会社建新","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAQCYA4","株式会社夢のおてつだい","Activated","A. 請求が契約管理に直接紐づく","True","True","True"
"a04RB00000kUAQDYA4","株式会社JBリアルエステート","解約","C. 契約月次明細あり・請求なし","False","True","False"
"a04RB00000kVL7JYAW","Mig_freee請求移行_アイリスチトセ株式会社","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7KYAW","Mig_freee請求移行_クウジット株式会社","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7LYAW","Mig_freee請求移行_コクヨ 株式会社","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7MYAW","Mig_freee請求移行_さいたま家づくりネットワーク事務局","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7NYAW","Mig_freee請求移行_どさんこ不動産","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7OYAW","Mig_freee請求移行_トヨタコニックプロ株式会社","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7PYAW","Mig_freee請求移行_プラス株式会社","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7QYAW","Mig_freee請求移行_リユースせいわ 西和不動産株式会社 栗東店","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7RYAW","Mig_freee請求移行_株式会社LIXIL","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7SYAW","Mig_freee請求移行_株式会社アールシーコア","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7TYAW","Mig_freee請求移行_株式会社アイ・キューブ","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7UYAW","Mig_freee請求移行_株式会社エリオクリエイト","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7VYAW","Mig_freee請求移行_株式会社コスモスイニシア","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7WYAW","Mig_freee請求移行_株式会社サンケイビル","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7XYAW","Mig_freee請求移行_株式会社スタッコ","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7YYAW","Mig_freee請求移行_株式会社デザインアーク","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7ZYAW","Mig_freee請求移行_株式会社ハートランド","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7aYAG","Mig_freee請求移行_株式会社石勝エクステリア","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7bYAG","Mig_freee請求移行_株式会社中村不動産開発","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7cYAG","Mig_freee請求移行_近鉄不動産株式会社","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7dYAG","Mig_freee請求移行_合同会社髙木秀太事務所 NOI STUDIO","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7eYAG","Mig_freee請求移行_三菱商事 株式会社","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7fYAG","Mig_freee請求移行_松栄不動産株式会社","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7gYAG","Mig_freee請求移行_神奈川県知事　黒岩　祐治","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7hYAG","Mig_freee請求移行_帝国不動産株式会社","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7iYAG","Mig_freee請求移行_東急不動産株式会社","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
"a04RB00000kVL7jYAG","Mig_freee請求移行_野村不動産株式会社","Draft","A. 請求が契約管理に直接紐づく","True","False","False"
