Id,Name,Contract__c,Contract__r.ContractUpdate__c,Contract__r.Status__c,PeriodStartDate__c,PeriodEndDate__c,RenewalCount__c,IsInitialPeriod__c
a0BRB00000ynn5P2AQ,CP-00000120,a04RB00000kUAPXYA4,月,Activated,2024-11-01,,,true
a0BRB00000ynn5T2AQ,CP-00000124,a04RB00000kUAPbYAO,月,Activated,2024-12-01,,,true
a0BRB00000ynn5V2AQ,CP-00000126,a04RB00000kUAPdYAO,月,解約,2025-01-01,,,true
a0BRB00000ynn5Y2AQ,CP-00000129,a04RB00000kUAPgYAO,月,Activated,2025-02-01,,,true
a0BRB00000ynn5a2AA,CP-00000131,a04RB00000kUAPhYAO,月,解約,2025-01-01,,,true
a0BRB00000ynn5b2AA,CP-00000132,a04RB00000kUAPjYAO,月,Activated,2025-02-01,,,true
a0BRB00000ynn5d2AA,CP-00000134,a04RB00000kUAPlYAO,月,Activated,2025-02-01,,,true
a0BRB00000ynn5f2AA,CP-00000136,a04RB00000kUAPnYAO,月,Activated,2025-03-01,,,true
a0BRB00000ynn5p2AA,CP-00000146,a04RB00000kUAPxYAO,月,Activated,2025-06-01,,,true
a0BRB00000ynn5s2AA,CP-00000149,a04RB00000kUAQ0YAO,月,Activated,2025-07-01,,,true
a0BRB00000ynn5u2AA,CP-00000151,a04RB00000kUAQ2YAO,月,Activated,2025-08-01,,,true
a0BRB00000ynn5v2AA,CP-00000152,a04RB00000kUAQ3YAO,月,Activated,2025-08-01,,,true
a0BRB00000ynn5y2AA,CP-00000155,a04RB00000kUAQ6YAO,月,Activated,2025-09-01,,,true
a0BRB00000ynn612AA,CP-00000158,a04RB00000kUAQ9YAO,月,Activated,2025-11-01,,,true
a0BRB00000ynn622AA,CP-00000159,a04RB00000kUAQAYA4,月,Activated,2025-12-01,,,true
a0BRB00000ynn632AA,CP-00000160,a04RB00000kUAQBYA4,月,Activated,2026-02-01,,,true
a0BRB00000ynn642AA,CP-00000161,a04RB00000kUAQCYA4,月,Activated,2026-02-01,,,true
a0BRB000010uuk12AA,CP-00000220,a04RB00000kUAOAYA4,月,Activated,2026-06-01,,,false
a0BRB000011R30j2AC,CP-00000285,a04RB00000miHmIYAU,月,Activated,2026-07-01,,0,true
a0BRB000012EChM2AW,CP-00000306,a04RB00000n5JdsYAE,月,Activated,2026-02-01,,,false
a0BRB000012RmbZ2AS,CP-00000374,a04RB00000n9hzBYAQ,月,更新予定,2026-06-29,,,false
a0BRB000013Hjco2AC,CP-00000388,a04RB00000nRI1RYAW,年,Activated,2026-08-01,,,false
