SourceSheet,SourceRow,Date,Account,Contract,MonthlyName,Amount,ContractMRR,LiveMatchCount,LiveIds,LiveTotals,AmountMatch
【営業】Rendery 月別契約中MRR,39,2026/03/01,三越伊勢丹プロパティ・デザイン株式会社,CN-00000067,株式会社三越伊勢丹プロパティデザイン_2026/03,40000,48000,1,a03RB00001NswgfYAB,40000,True
【営業】Rendery 月別契約中MRR,40,2026/03/01,豊通ファシリティーズ株式会社,CN-00000068,豊通ファシリティーズ株式会社 建築・設計部_2026/03,8000,16000,1,a03RB00001NswglYAB,8000,True
【営業】Rendery 月別契約中MRR,41,2026/03/01,フロンヴィルホームズ名古屋株式会社,CN-00000069,フロンヴィルホームズ名古屋株式会社_2026/03,8000,8000,1,a03RB00001NswgpYAB,8000,True
【営業】Rendery 月別契約中MRR,42,2026/03/01,三菱地所レジデンス株式会社,CN-00000071,三菱地所レジデンス株式会社_2026/03,16000,16000,1,a03RB00001Nswh7YAB,16000,True
【営業】Rendery 月別契約中MRR,43,2026/03/01,株式会社石勝エクステリア,CN-00000072,株式会社石勝エクステリア_2026/03,110000,100000,1,a03RB00001NswhHYAR,110000,True
【営業】Rendery 月別契約中MRR,44,2026/03/01,ジーク株式会社,CN-00000075,ジーク株式会社_2026/03,70000,70000,1,a03RB00001NswhmYAB,70000,True
【営業】Rendery 月別契約中MRR,45,2026/03/01,株式会社 錢高組,CN-00000077,株式会社錢高組_2026/03,24000,24000,1,a03RB00001Nswi2YAB,24000,True
【営業】Rendery 月別契約中MRR,46,2026/03/01,日鉄興和不動産株式会社,CN-00000078,日鉄興和不動産株式会社_2026/03,195000,150000,1,a03RB00001Nswi6YAB,195000,True
【営業】Rendery 月別契約中MRR,47,2026/03/01,株式会社石勝エクステリア,CN-00000079,株式会社石勝エクステリア(シングルサインオン分）_2026/03,30000,30000,1,a03RB00001NswiOYAR,30000,True
【営業】Rendery 月別契約中MRR,48,2026/03/01,株式会社アールシーコア,CN-00000080,株式会社アールシーコア(セキュリティオプション月額）_2026/03,100000,100000,1,a03RB00001NswidYAB,100000,True
【営業】Rendery 月別契約中MRR,49,2026/03/01,Phantom株式会社,CN-00000081,Phantom株式会社_2026/03,16000,16000,1,a03RB00001NswihYAB,16000,True
【営業】Rendery 月別契約中MRR,50,2026/03/01,株式会社 トーケン,CN-00000085,株式会社トーケン_2026/03,80000,80000,1,a03RB00001NswirYAB,80000,True
【営業】Rendery 月別契約中MRR,51,2026/03/01,柏井建設 株式会社,CN-00000088,柏井建設株式会社_2026/03,75000,75000,1,a03RB00001Nswj7YAB,75000,True
【営業】Rendery 月別契約中MRR,52,2026/03/01,三井住友建設株式会社,CN-00000091,三井住友建設株式会社_2026/03,8000,8000,1,a03RB00001NswjOYAR,8000,True
【営業】Rendery 月別契約中MRR,53,2026/03/01,アイリスオーヤマ株式会社(空間デザイン部),CN-00000200,a03RB00001UyZWF,11000,11000,1,a03RB00001UyZWFYA3,11000,True
【営業】Rendery 月別契約中MRR,54,2026/03/01,アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム),CN-00000201,a03RB00001UyZWG,44000,44000,1,a03RB00001UyZWGYA3,44000,True
【営業】Rendery 月別契約中MRR,55,2026/03/01,九州旅客鉄道株式会社(博多設備区),CN-00000202,a03RB00001UyZWH,8000,8000,1,a03RB00001UyZWHYA3,8000,True
【営業】Rendery 月別契約中MRR,56,2026/03/01,九州旅客鉄道株式会社(建設工事部施設課),CN-00000203,a03RB00001UyZWo,8000,8000,1,a03RB00001UyZWoYAN,8000,True
【営業】Rendery 月別契約中MRR,57,2026/03/01,九州旅客鉄道株式会社(開発工事部),CN-00000205,a03RB00001UyZWq,8000,8000,1,a03RB00001UyZWqYAN,8000,True
【営業】Rendery 月別契約中MRR,58,2026/03/01,株式会社ＬＩＸＩＬ住宅研究所,CN-00000206,a03RB00001UyZWr,8000,8000,1,a03RB00001UyZWrYAN,8000,True
【営業】Rendery 月別契約中MRR,59,2026/03/01,株式会社JR東日本建築設計,CN-00000211,a03RB00001UyZWE,8000,8000,1,a03RB00001UyZWEYA3,8000,True
【営業】Rendery 月別契約中MRR,60,2026/03/01,三菱地所株式会社(DX推進部),CN-00000212,a03RB00001UyZWt,16000,16000,1,a03RB00001UyZWtYAN,16000,True
【営業】Rendery 月別契約中MRR,61,2026/03/01,柏井建設株式会社,CN-00000217,a03RB00001UyZWB,75000,75000,1,a03RB00001UyZWBYA3,75000,True
【営業】Rendery 月別契約中MRR,62,2026/03/01,株式会社ジョイフル本田,CN-00000219,a03RB00001UyZWI,55000,55000,1,a03RB00001UyZWIYA3,55000,True
【営業】Rendery 月別契約中MRR,63,2026/03/01,インフィニティ株式会社,CN-00000220,a03RB00001UyZWp,8000,8000,1,a03RB00001UyZWpYAN,8000,True
【営業】Rendery 月別契約中MRR,64,2026/03/01,アイリスチトセ株式会社,CN-00000222,a03RB00001UyZWs,77000,77000,1,a03RB00001UyZWsYAN,77000,True
【営業】Rendery 月別契約中MRR,67,2026/04/01,サンフロンティア不動産株式会社,CN-00000003,サンフロンティア不動産株式会社_2026/04,64000,64000,1,a03RB00001NswUdYAJ,64000,True
【営業】Rendery 月別契約中MRR,68,2026/04/01,東急株式会社,CN-00000006,東急株式会社_2026/04,11000,11000,1,a03RB00001NswVRYAZ,11000,True
【営業】Rendery 月別契約中MRR,69,2026/04/01,東急建設株式会社,CN-00000007,東急建設 ○独特の請求書式あり_2026/04,8000,8000,1,a03RB00001NswVkYAJ,8000,True
【営業】Rendery 月別契約中MRR,70,2026/04/01,株式会社フロンティアコンサルティング,CN-00000008,株式会社フロンティアコンサルティング_2026/04,462000,550000,1,a03RB00001NswWGYAZ,462000,True
【営業】Rendery 月別契約中MRR,71,2026/04/01,株式会社前田工務店,CN-00000009,前田工務店_2026/04,8000,8000,1,a03RB00001NswWbYAJ,8000,True
【営業】Rendery 月別契約中MRR,72,2026/04/01,株式会社ムゲンエステート,CN-00000012,ムゲンエステート_2026/04,8000,8000,1,a03RB00001NswX5YAJ,8000,True
【営業】Rendery 月別契約中MRR,73,2026/04/01,株式会社TRIAD,CN-00000022,株式会社TRIAD_2026/04,8000,8000,1,a03RB00001NswZJYAZ,8000,True
【営業】Rendery 月別契約中MRR,74,2026/04/01,戸田建設株式会社,CN-00000026,戸田建設(設計部:月額)_2026/04,55000,55000,1,a03RB00001Nswa0YAB,55000,True
【営業】Rendery 月別契約中MRR,75,2026/04/01,47内装株式会社,CN-00000027,47内装株式会社_2026/04,55000,55000,1,a03RB00001NswaFYAR,55000,True
【営業】Rendery 月別契約中MRR,76,2026/04/01,ANAスカイビルサービス株式会社,CN-00000028,ANAスカイビルサービス株式会社 ※郵送希望_2026/04,16000,16000,1,a03RB00001NswaTYAR,16000,True
【営業】Rendery 月別契約中MRR,77,2026/04/01,吉村紳 一級建築士事務所,CN-00000033,吉村紳 一級建築士事務所_2026/04,8000,8000,1,a03RB00001NswbVYAR,8000,True
【営業】Rendery 月別契約中MRR,78,2026/04/01,矢作建設工業株式会社,CN-00000035,矢作建設工業株式会社_2026/04,49584,55000,1,a03RB00001NswblYAB,49584,True
【営業】Rendery 月別契約中MRR,79,2026/04/01,株式会社デザインアーク,CN-00000036,株式会社デザインアーク_2026/04,55000,165000,1,a03RB00001Nswc0YAB,55000,True
【営業】Rendery 月別契約中MRR,80,2026/04/01,株式会社アーキテクト・ディベロッパー,CN-00000040,株式会社アーキテクト・ディベロッパー（5月1日より帝国不動産株式会社）_2026/04,48000,48000,1,a03RB00001NswcIYAR,48000,True
【営業】Rendery 月別契約中MRR,81,2026/04/01,野原グループ株式会社,CN-00000041,野原グループ株式会社_2026/04,8000,8000,1,a03RB00001NswcWYAR,8000,True
【営業】Rendery 月別契約中MRR,82,2026/04/01,JOA株式会社,CN-00000053,JOA株式会社_2026/04,55000,55000,1,a03RB00001NswebYAB,55000,True
【営業】Rendery 月別契約中MRR,83,2026/04/01,三井不動産レジデンシャルリース株式会社,CN-00000055,三井不動産レジデンシャルリース株式会社(ソリューション推進部)_2026/04,132000,132000,1,a03RB00001NswepYAB,132000,True
【営業】Rendery 月別契約中MRR,84,2026/04/01,株式会社大塚商会,CN-00000063,大塚商会（大和財宅）_2026/04,88000,88000,1,a03RB00001NswgJYAR,88000,True
【営業】Rendery 月別契約中MRR,85,2026/04/01,三越伊勢丹プロパティ・デザイン株式会社,CN-00000067,株式会社三越伊勢丹プロパティデザイン_2026/04,40000,48000,1,a03RB00001NswggYAB,40000,True
【営業】Rendery 月別契約中MRR,86,2026/04/01,豊通ファシリティーズ株式会社,CN-00000068,豊通ファシリティーズ株式会社 建築・設計部_2026/04,8000,16000,1,a03RB00001NswgmYAB,8000,True
【営業】Rendery 月別契約中MRR,87,2026/04/01,フロンヴィルホームズ名古屋株式会社,CN-00000069,フロンヴィルホームズ名古屋株式会社_2026/04,8000,8000,1,a03RB00001NswgqYAB,8000,True
【営業】Rendery 月別契約中MRR,88,2026/04/01,三菱地所レジデンス株式会社,CN-00000071,三菱地所レジデンス株式会社_2026/04,16000,16000,1,a03RB00001Nswh8YAB,16000,True
【営業】Rendery 月別契約中MRR,89,2026/04/01,三菱地所レジデンス株式会社,CN-00000071,a03RB00001Uj0sJ,16000,16000,1,a03RB00001Uj0sJYAR,16000,True
【営業】Rendery 月別契約中MRR,90,2026/04/01,株式会社石勝エクステリア,CN-00000072,株式会社石勝エクステリア_2026/04,100000,100000,1,a03RB00001NswhIYAR,100000,True
【営業】Rendery 月別契約中MRR,91,2026/04/01,ジーク株式会社,CN-00000075,ジーク株式会社_2026/04,70000,70000,1,a03RB00001NswhnYAB,70000,True
【営業】Rendery 月別契約中MRR,92,2026/04/01,株式会社アールシーコア,CN-00000076,株式会社アールシーコア_2026/04,150000,150000,1,a03RB00001NswhzYAB,150000,True
【営業】Rendery 月別契約中MRR,93,2026/04/01,株式会社 錢高組,CN-00000077,株式会社錢高組_2026/04,24000,24000,1,a03RB00001Nswi3YAB,24000,True
【営業】Rendery 月別契約中MRR,94,2026/04/01,株式会社石勝エクステリア,CN-00000079,株式会社石勝エクステリア(シングルサインオン分）_2026/04,30000,30000,1,a03RB00001NswiPYAR,30000,True
【営業】Rendery 月別契約中MRR,95,2026/04/01,株式会社アールシーコア,CN-00000080,株式会社アールシーコア(セキュリティオプション月額）_2026/04,100000,100000,1,a03RB00001NswieYAB,100000,True
【営業】Rendery 月別契約中MRR,96,2026/04/01,Phantom株式会社,CN-00000081,Phantom株式会社_2026/04,16000,16000,1,a03RB00001NswiiYAB,16000,True
【営業】Rendery 月別契約中MRR,97,2026/04/01,株式会社 トーケン,CN-00000085,株式会社トーケン_2026/04,80000,80000,1,a03RB00001NswisYAB,80000,True
【営業】Rendery 月別契約中MRR,98,2026/04/01,花菱不動産株式会社,CN-00000086,花菱不動産株式会社_2026/04,16000,16000,1,a03RB00001Nswj3YAB,16000,True
【営業】Rendery 月別契約中MRR,99,2026/04/01,柏井建設 株式会社,CN-00000088,柏井建設株式会社_2026/04,75000,75000,1,a03RB00001Nswj8YAB,75000,True
【営業】Rendery 月別契約中MRR,100,2026/04/01,株式会社紀伊國屋書店,CN-00000089,株式会社紀伊國屋書店_2026/04,40000,40000,1,a03RB00001NswjAYAR,40000,True
【営業】Rendery 月別契約中MRR,101,2026/04/01,株式会社サンケイビル,CN-00000090,株式会社サンケイビル_2026/04,70000,70000,1,a03RB00001NswjCYAR,70000,True
【営業】Rendery 月別契約中MRR,102,2026/04/01,三井住友建設株式会社,CN-00000091,三井住友建設株式会社_2026/04,8000,8000,1,a03RB00001NswjPYAR,8000,True
【営業】Rendery 月別契約中MRR,103,2026/04/01,Asplead株式会社,CN-00000092,Asplead株式会社_2026/04,16000,16000,1,a03RB00001NswjRYAR,16000,True
【営業】Rendery 月別契約中MRR,104,2026/04/01,株式会社スタイルテック総合計画,CN-00000093,スタイルテック総合計画_2026/04,75000,75000,1,a03RB00001NswjTYAR,75000,True
【営業】Rendery 月別契約中MRR,105,2026/04/01,株式会社ecoaハウス,CN-00000094,株式会社ecoaハウス_2026/04,75000,75000,1,a03RB00001NswjVYAR,75000,True
【営業】Rendery 月別契約中MRR,106,2026/04/01,株式会社ドムコス,CN-00000095,株式会社ドムコス_2026/04,8000,8000,1,a03RB00001NswjXYAR,8000,True
【営業】Rendery 月別契約中MRR,107,2026/04/01,株式会社フィールド・デザイン・アーキテクツ一級建築士事務所,CN-00000098,フィールド・デザイン・アーキテクツ一級建築士事務所_2026/04,8000,8000,1,a03RB00001NswjeYAB,8000,True
【営業】Rendery 月別契約中MRR,108,2026/04/01,株式会社ルミネ,CN-00000099,株式会社ルミネ_2026/04,8000,8000,1,a03RB00001NswjgYAB,8000,True
【営業】Rendery 月別契約中MRR,109,2026/04/01,株式会社安井建築設計事務所,CN-00000102,株式会社安井建築設計事務所_2026/04,8000,8000,1,a03RB00001Nswk6YAB,8000,True
【営業】Rendery 月別契約中MRR,110,2026/04/01,アイリスオーヤマ株式会社(空間デザイン部),CN-00000200,a03RB00001UyZWj,11000,11000,1,a03RB00001UyZWjYAN,11000,True
【営業】Rendery 月別契約中MRR,111,2026/04/01,アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム),CN-00000201,a03RB00001UyZWk,44000,44000,1,a03RB00001UyZWkYAN,44000,True
【営業】Rendery 月別契約中MRR,112,2026/04/01,九州旅客鉄道株式会社(博多設備区),CN-00000202,a03RB00001UyZWl,8000,8000,1,a03RB00001UyZWlYAN,8000,True
【営業】Rendery 月別契約中MRR,113,2026/04/01,九州旅客鉄道株式会社(建設工事部施設課),CN-00000203,a03RB00001UyZWn,8000,8000,1,a03RB00001UyZWnYAN,8000,True
【営業】Rendery 月別契約中MRR,114,2026/04/01,九州旅客鉄道株式会社(開発工事部),CN-00000205,a03RB00001UyZWK,8000,8000,1,a03RB00001UyZWKYA3,8000,True
【営業】Rendery 月別契約中MRR,115,2026/04/01,株式会社ＬＩＸＩＬ住宅研究所,CN-00000206,a03RB00001UyZWL,8000,8000,1,a03RB00001UyZWLYA3,8000,True
【営業】Rendery 月別契約中MRR,116,2026/04/01,株式会社JR東日本建築設計,CN-00000211,a03RB00001UyZWi,8000,8000,1,a03RB00001UyZWiYAN,8000,True
【営業】Rendery 月別契約中MRR,117,2026/04/01,三菱地所株式会社(DX推進部),CN-00000212,a03RB00001UyZWN,16000,16000,1,a03RB00001UyZWNYA3,16000,True
【営業】Rendery 月別契約中MRR,118,2026/04/01,野村不動産株式会社,CN-00000213,a03RB00001UyZWO,30000,180000,1,a03RB00001UyZWOYA3,30000,True
【営業】Rendery 月別契約中MRR,119,2026/04/01,野村不動産株式会社,CN-00000213,a03RB00001UyZWP,150000,180000,1,a03RB00001UyZWPYA3,150000,True
【営業】Rendery 月別契約中MRR,120,2026/04/01,株式会社ジョイフル本田,CN-00000219,a03RB00001UyZWm,55000,55000,1,a03RB00001UyZWmYAN,55000,True
【営業】Rendery 月別契約中MRR,121,2026/04/01,インフィニティ株式会社,CN-00000220,a03RB00001UyZWJ,8000,8000,1,a03RB00001UyZWJYA3,8000,True
【営業】Rendery 月別契約中MRR,122,2026/04/01,帝国不動産株式会社,CN-00000221,a03RB00001UyZWM,48000,48000,1,a03RB00001UyZWMYA3,48000,True
【営業】Rendery 月別契約中MRR,123,2026/04/01,アイリスチトセ株式会社,CN-00000222,a03RB00001UyZWQ,77000,77000,1,a03RB00001UyZWQYA3,77000,True
【営業】Rendery 月別契約中MRR,126,2026/05/01,サンフロンティア不動産株式会社,CN-00000003,サンフロンティア不動産株式会社_2026/05,64000,64000,1,a03RB00001NswUeYAJ,64000,True
【営業】Rendery 月別契約中MRR,127,2026/05/01,東急株式会社,CN-00000006,東急株式会社_2026/05,11000,11000,1,a03RB00001NswVSYAZ,11000,True
【営業】Rendery 月別契約中MRR,128,2026/05/01,東急建設株式会社,CN-00000007,東急建設 ○独特の請求書式あり_2026/05,8000,8000,1,a03RB00001NswVlYAJ,8000,True
【営業】Rendery 月別契約中MRR,129,2026/05/01,株式会社フロンティアコンサルティング,CN-00000008,株式会社フロンティアコンサルティング_2026/05,484000,550000,1,a03RB00001NswWHYAZ,484000,True
【営業】Rendery 月別契約中MRR,130,2026/05/01,株式会社ムゲンエステート,CN-00000012,ムゲンエステート_2026/05,8000,8000,1,a03RB00001NswX6YAJ,8000,True
【営業】Rendery 月別契約中MRR,131,2026/05/01,株式会社TRIAD,CN-00000022,株式会社TRIAD_2026/05,8000,8000,1,a03RB00001NswZKYAZ,8000,True
【営業】Rendery 月別契約中MRR,132,2026/05/01,戸田建設株式会社,CN-00000026,戸田建設(設計部:月額)_2026/05,55000,55000,1,a03RB00001Nswa1YAB,55000,True
【営業】Rendery 月別契約中MRR,133,2026/05/01,47内装株式会社,CN-00000027,47内装株式会社_2026/05,55000,55000,1,a03RB00001NswaGYAR,55000,True
【営業】Rendery 月別契約中MRR,134,2026/05/01,ANAスカイビルサービス株式会社,CN-00000028,ANAスカイビルサービス株式会社 ※郵送希望_2026/05,16000,16000,1,a03RB00001NswaUYAR,16000,True
【営業】Rendery 月別契約中MRR,135,2026/05/01,吉村紳 一級建築士事務所,CN-00000033,吉村紳 一級建築士事務所_2026/05,8000,8000,1,a03RB00001NswbWYAR,8000,True
【営業】Rendery 月別契約中MRR,136,2026/05/01,矢作建設工業株式会社,CN-00000035,矢作建設工業株式会社_2026/05,49584,55000,1,a03RB00001NswbmYAB,49584,True
【営業】Rendery 月別契約中MRR,137,2026/05/01,株式会社デザインアーク,CN-00000036,株式会社デザインアーク_2026/05,55000,165000,1,a03RB00001Nswc1YAB,55000,True
【営業】Rendery 月別契約中MRR,138,2026/05/01,株式会社アーキテクト・ディベロッパー,CN-00000040,株式会社アーキテクト・ディベロッパー（5月1日より帝国不動産株式会社）_2026/05,48000,48000,1,a03RB00001NswcJYAR,48000,True
【営業】Rendery 月別契約中MRR,139,2026/05/01,野原グループ株式会社,CN-00000041,野原グループ株式会社_2026/05,8000,8000,1,a03RB00001NswcXYAR,8000,True
【営業】Rendery 月別契約中MRR,140,2026/05/01,JOA株式会社,CN-00000053,JOA株式会社_2026/05,55000,55000,1,a03RB00001NswecYAB,55000,True
【営業】Rendery 月別契約中MRR,141,2026/05/01,三井不動産レジデンシャルリース株式会社,CN-00000055,三井不動産レジデンシャルリース株式会社(ソリューション推進部)_2026/05,132000,132000,1,a03RB00001NsweqYAB,132000,True
【営業】Rendery 月別契約中MRR,142,2026/05/01,株式会社大塚商会,CN-00000063,大塚商会（大和財宅）_2026/05,88000,88000,1,a03RB00001NswgKYAR,88000,True
【営業】Rendery 月別契約中MRR,143,2026/05/01,三越伊勢丹プロパティ・デザイン株式会社,CN-00000067,株式会社三越伊勢丹プロパティデザイン_2026/05,40000,48000,1,a03RB00001NswghYAB,40000,True
【営業】Rendery 月別契約中MRR,144,2026/05/01,豊通ファシリティーズ株式会社,CN-00000068,豊通ファシリティーズ株式会社 建築・設計部_2026/05,8000,16000,1,a03RB00001NswgnYAB,8000,True
【営業】Rendery 月別契約中MRR,145,2026/05/01,フロンヴィルホームズ名古屋株式会社,CN-00000069,フロンヴィルホームズ名古屋株式会社_2026/05,8000,8000,1,a03RB00001NswgrYAB,8000,True
【営業】Rendery 月別契約中MRR,146,2026/05/01,三菱地所レジデンス株式会社,CN-00000071,三菱地所レジデンス株式会社_2026/05,16000,16000,1,a03RB00001Nswh9YAB,16000,True
【営業】Rendery 月別契約中MRR,147,2026/05/01,株式会社石勝エクステリア,CN-00000072,株式会社石勝エクステリア_2026/05,100000,100000,1,a03RB00001NswhJYAR,100000,True
【営業】Rendery 月別契約中MRR,148,2026/05/01,ジーク株式会社,CN-00000075,ジーク株式会社_2026/05,70000,70000,1,a03RB00001NswhoYAB,70000,True
【営業】Rendery 月別契約中MRR,149,2026/05/01,株式会社アールシーコア,CN-00000076,株式会社アールシーコア_2026/05,150000,150000,1,a03RB00001Nswi0YAB,150000,True
【営業】Rendery 月別契約中MRR,150,2026/05/01,株式会社 錢高組,CN-00000077,株式会社錢高組_2026/05,24000,24000,1,a03RB00001Nswi4YAB,24000,True
【営業】Rendery 月別契約中MRR,151,2026/05/01,日鉄興和不動産株式会社,CN-00000078,日鉄興和不動産株式会社_2026/05,140000,150000,1,a03RB00001Nswi7YAB,140000,True
【営業】Rendery 月別契約中MRR,152,2026/05/01,株式会社石勝エクステリア,CN-00000079,株式会社石勝エクステリア(シングルサインオン分）_2026/05,30000,30000,1,a03RB00001NswiQYAR,30000,True
【営業】Rendery 月別契約中MRR,153,2026/05/01,株式会社アールシーコア,CN-00000080,株式会社アールシーコア(セキュリティオプション月額）_2026/05,100000,100000,1,a03RB00001NswifYAB,100000,True
【営業】Rendery 月別契約中MRR,154,2026/05/01,Phantom株式会社,CN-00000081,Phantom株式会社_2026/05,16000,16000,1,a03RB00001NswijYAB,16000,True
【営業】Rendery 月別契約中MRR,155,2026/05/01,株式会社 トーケン,CN-00000085,株式会社トーケン_2026/05,80000,80000,1,a03RB00001NswitYAB,80000,True
【営業】Rendery 月別契約中MRR,156,2026/05/01,花菱不動産株式会社,CN-00000086,花菱不動産株式会社_2026/05,16000,16000,1,a03RB00001Nswj4YAB,16000,True
【営業】Rendery 月別契約中MRR,157,2026/05/01,柏井建設 株式会社,CN-00000088,柏井建設株式会社_2026/05,75000,75000,1,a03RB00001Nswj9YAB,75000,True
【営業】Rendery 月別契約中MRR,158,2026/05/01,株式会社紀伊國屋書店,CN-00000089,株式会社紀伊國屋書店_2026/05,40000,40000,1,a03RB00001NswjBYAR,40000,True
【営業】Rendery 月別契約中MRR,159,2026/05/01,株式会社サンケイビル,CN-00000090,株式会社サンケイビル_2026/05,70000,70000,1,a03RB00001NswjDYAR,70000,True
【営業】Rendery 月別契約中MRR,160,2026/05/01,三井住友建設株式会社,CN-00000091,三井住友建設株式会社_2026/05,8000,8000,1,a03RB00001NswjQYAR,8000,True
【営業】Rendery 月別契約中MRR,161,2026/05/01,Asplead株式会社,CN-00000092,Asplead株式会社_2026/05,16000,16000,1,a03RB00001NswjSYAR,16000,True
【営業】Rendery 月別契約中MRR,162,2026/05/01,株式会社スタイルテック総合計画,CN-00000093,スタイルテック総合計画_2026/05,75000,75000,1,a03RB00001NswjUYAR,75000,True
【営業】Rendery 月別契約中MRR,163,2026/05/01,株式会社ecoaハウス,CN-00000094,株式会社ecoaハウス_2026/05,75000,75000,1,a03RB00001NswjWYAR,75000,True
【営業】Rendery 月別契約中MRR,164,2026/05/01,株式会社ドムコス,CN-00000095,株式会社ドムコス_2026/05,8000,8000,1,a03RB00001NswjYYAR,8000,True
【営業】Rendery 月別契約中MRR,165,2026/05/01,株式会社フィールド・デザイン・アーキテクツ一級建築士事務所,CN-00000098,フィールド・デザイン・アーキテクツ一級建築士事務所_2026/05,8000,8000,1,a03RB00001NswjfYAB,8000,True
