attributes,Id,Name,Account__c,MRR__c,StageName__c,ContractUpdate__c,ProductCategory__c,StartDate__c,CreatedDate,LastModifiedDate
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QYYAZ'}",a08RB00001Z16QYYAZ,三井不動産レジデンシャルリース株式会社 の取引,001RB00001VTqbXYAT,187000,Closed Lost,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QZYAZ'}",a08RB00001Z16QZYAZ,東急建設株式会社 の取引,001RB00001VTrseYAD,8800,ValueProposition,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QaYAJ'}",a08RB00001Z16QaYAJ,一条工務店 の取引,001RB00001VTqbnYAD,17600,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QbYAJ'}",a08RB00001Z16QbYAJ,株式会社コスモスイニシア の取引,001RB00001VTqgBYAT,12100,Closed Lost,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QcYAJ'}",a08RB00001Z16QcYAJ,株式会社賃貸メイト の取引,001RB00001VTqlmYAD,187000,Closed Lost,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QgYAJ'}",a08RB00001Z16QgYAJ,株式会社ゴールドクレスト の取引,001RB00001VTrOfYAL,55000,ValueProposition,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QhYAJ'}",a08RB00001Z16QhYAJ,東建コーポレーション株式会社 の取引,001RB00001VTrxGYAT,60500,Closed Lost,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QiYAJ'}",a08RB00001Z16QiYAJ,株式会社クラス の取引,001RB00001VTqkSYAT,8800,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QjYAJ'}",a08RB00001Z16QjYAJ,生和コーポレーション株式会社 の取引,001RB00001VTqmcYAD,8800,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QkYAJ'}",a08RB00001Z16QkYAJ,株式会社アル.パートナーズ建築設計 の取引,001RB00001VTqlvYAD,26400,Closed Lost,月,Rendery,2025-06-01,2026-06-21T16:02:53.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QlYAJ'}",a08RB00001Z16QlYAJ,株式会社グローバルセンター の取引,001RB00001VTqm2YAD,12100,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QnYAJ'}",a08RB00001Z16QnYAJ,アイリスチトセ株式会社 の取引,001RB00001VTqlZYAT,50000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QoYAJ'}",a08RB00001Z16QoYAJ,株式会社白水社 の取引,001RB00001VTqm4YAD,195000,ValueProposition,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QpYAJ'}",a08RB00001Z16QpYAJ,プラナス株式会社一級建築士事務所 の取引,001RB00001VTqmCYAT,5500,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QqYAJ'}",a08RB00001Z16QqYAJ,大東建託株式会社 設計センター（アップセル）,001RB00001VTruMYAT,90000,Negotiation,月,Rendery,2026-10-01,2026-06-21T16:02:53.000+0000,2026-08-25T00:32:06.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QrYAJ'}",a08RB00001Z16QrYAJ,株式会社アルファ建築設計事務所 の取引,001RB00001VTqnBYAT,8800,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QsYAJ'}",a08RB00001Z16QsYAJ,株式会社JR東日本建築設計 の取引,001RB00001VTrHVYA1,8800,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QtYAJ'}",a08RB00001Z16QtYAJ,株式会社石勝エクステリア の取引,001RB00001VTqnMYAT,140000,Closed Won,年,Rendery,2025-12-01,2026-06-21T16:02:53.000+0000,2026-08-17T06:50:26.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QvYAJ'}",a08RB00001Z16QvYAJ,株式会社マルク の取引,001RB00001VTqlrYAD,60500,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QwYAJ'}",a08RB00001Z16QwYAJ,Atelier Ohtaki architecture の取引,001RB00001VTqmGYAT,5500,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QxYAJ'}",a08RB00001Z16QxYAJ,JOA株式会社 の取引,001RB00001VTqmBYAT,55000,Closed Won,月,Rendery,2026-04-01,2026-06-21T16:02:53.000+0000,2026-08-10T02:16:15.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QyYAJ'}",a08RB00001Z16QyYAJ,ホームトレードセンター株式会社 の取引,001RB00001VTqnbYAD,12100,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QzYAJ'}",a08RB00001Z16QzYAJ,株式会社日立プラントサービス の取引,001RB00001VTqnJYAT,110000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16R0YAJ'}",a08RB00001Z16R0YAJ,エコワークス の取引,001RB00001VTqjqYAD,12100,Prospecting,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16R2YAJ'}",a08RB00001Z16R2YAJ,ノムラメディアス の取引,001RB00001VTCZGYA5,88000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-22T12:00:15.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16R3YAJ'}",a08RB00001Z16R3YAJ,プラス株式会社ファニチャーカンパニー の取引,001RB00001VTCZPYA5,77000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16R4YAJ'}",a08RB00001Z16R4YAJ,乃村工藝社 の取引,001RB00001VTCZZYA5,75000,ValueProposition,月,Rendery,2026-09-01,2026-06-21T16:02:53.000+0000,2026-07-31T04:46:13.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16R5YAJ'}",a08RB00001Z16R5YAJ,株式会社 アイエス不動産 の取引,001RB00001VTqnrYAD,12100,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16R6YAJ'}",a08RB00001Z16R6YAJ,株式会社飯田組 の取引,001RB00001VTrvIYAT,17600,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16R8YAJ'}",a08RB00001Z16R8YAJ,清水建設株式会社 の取引,001RB00001VTrvxYAD,55000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RBYAZ'}",a08RB00001Z16RBYAZ,東急不動産ホールディングス株式会社/東急不動産株式会社 の取引,001RB00001VTqkvYAD,220000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-22T12:48:35.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RCYAZ'}",a08RB00001Z16RCYAZ,大林ファシリティーズ株式会社 の取引,001RB00001VTqjfYAD,8800,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16REYAZ'}",a08RB00001Z16REYAZ,Asplead株式会社 の取引,001RB00001VTqnvYAD,17600,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RFYAZ'}",a08RB00001Z16RFYAZ,三菱地所レジデンス の取引,001RB00001VTqf7YAD,17600,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RGYAZ'}",a08RB00001Z16RGYAZ,TOPPAN株式会社 の取引,001RB00001VTqb8YAD,17600,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RHYAZ'}",a08RB00001Z16RHYAZ,ビルド・ワークス の取引,001RB00001VTqnwYAD,8800,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RIYAZ'}",a08RB00001Z16RIYAZ,YAF の取引,001RB00001VTqnxYAD,8800,Closed Lost,月,Rendery,2025-10-01,2026-06-21T16:02:53.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RJYAZ'}",a08RB00001Z16RJYAZ,清水建設株式会社(スマートシティ) の取引,001RB00001VTrvxYAD,55000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-22T12:07:54.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RLYAZ'}",a08RB00001Z16RLYAZ,大成建設株式会社 の取引,001RB00001VTqblYAD,110000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16ROYAZ'}",a08RB00001Z16ROYAZ,ソーシャルインテリア の取引,001RB00001VTqo0YAD,75000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RPYAZ'}",a08RB00001Z16RPYAZ,東京海上日動ファシリティーズ株式会社 の取引,001RB00001VTqnUYAT,75000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RSYAZ'}",a08RB00001Z16RSYAZ,生和コーポレーション株式会社(西日本支社),001RB00001VTqmcYAD,150000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RTYAZ'}",a08RB00001Z16RTYAZ,日鉄興和不動産株式会社,001RB00001VTrnKYAT,195000,Closed Won,年,Rendery,2026-05-01,2026-06-21T16:02:53.000+0000,2026-08-17T06:49:59.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RUYAZ'}",a08RB00001Z16RUYAZ,相鉄アーバンクリエイツ　西口事業部 の取引,001RB00001VTqs2YAD,8800,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RXYAZ'}",a08RB00001Z16RXYAZ,森ビル株式会社 の取引,001RB00001VTqWFYA1,8800,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RYYAZ'}",a08RB00001Z16RYYAZ,三弘建築事務所株式会社,001RB00001VTqxpYAD,56000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RdYAJ'}",a08RB00001Z16RdYAJ,三越伊勢丹プロパティデザイン株式会社,001RB00001VTqxsYAD,44000,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16ReYAJ'}",a08RB00001Z16ReYAJ,株式会社住研川越 の取引,001RB00001VTqxtYAD,12100,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16RfYAJ'}",a08RB00001Z16RfYAJ,荏原環境プラント株式会社 の取引,001RB00001VTqxuYAD,170000,Negotiation,年,Rendery,2026-09-01,2026-06-21T16:02:53.000+0000,2026-07-22T12:33:35.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G66YAF'}",a08RB00001Z1G66YAF,株式会社brackets の取引,001RB00001VTqxwYAD,8800,Prospecting,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6AYAV'}",a08RB00001Z1G6AYAV,株式会社FUNC DESIGN の取引,001RB00001VTqxzYAD,8800,Prospecting,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6BYAV'}",a08RB00001Z1G6BYAV,株式会社サイバーエージェント の取引,001RB00001VTqy0YAD,26400,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6CYAV'}",a08RB00001Z1G6CYAV,豊通ファシリティーズ株式会社 の取引,001RB00001VTqy1YAD,8800,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6DYAV'}",a08RB00001Z1G6DYAV,東急リバブル株式会社,001RB00001VTqy2YAD,150000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-22T12:48:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6EYAV'}",a08RB00001Z1G6EYAV,株式会社アルテ,001RB00001VTqy3YAD,132000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6FYAV'}",a08RB00001Z1G6FYAV,8175 STUDIO の取引,001RB00001VTqy4YAD,8800,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6GYAV'}",a08RB00001Z1G6GYAV,株式会社日企設計,001RB00001VTqy6YAD,38400,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6HYAV'}",a08RB00001Z1G6HYAV,地盤ネット株式会社 の取引,001RB00001VTrtxYAD,35200,Prospecting,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6IYAV'}",a08RB00001Z1G6IYAV,株式会社Lakke の取引,001RB00001VTqy7YAD,12100,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6JYAV'}",a08RB00001Z1G6JYAV,株式会社ササキハウス の取引,001RB00001VTreSYAT,12100,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6KYAV'}",a08RB00001Z1G6KYAV,生和コーポレーション株式会社 Update,001RB00001VTqmcYAD,150000,ValueProposition,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6LYAV'}",a08RB00001Z1G6LYAV,群馬セキスイハイム株式会社,001RB00001VTrvkYAD,17600,Negotiation,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6NYAV'}",a08RB00001Z1G6NYAV,JR九州コンサルタンツ株式会社,001RB00001VTqnyYAD,8800,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6OYAV'}",a08RB00001Z1G6OYAV,ハゼモト建設株式会社,001RB00001VTqyAYAT,60500,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6PYAV'}",a08RB00001Z1G6PYAV,(株)ビ・ハウス,001RB00001VTqyTYAT,44000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
